"Mineral Name","Mineral Name (plain)","IMA Chemistry (concise)","Valence Elements"
"Thaumasite","Thaumasite","Ca_3_Si(OH)_6_(CO_3_)(SO_4_)·12H_2_O","Ca Si O H S^6+ C"
"Thebaite-(NH<sub>4</sub>)","Thebaite-(NH4)","(NH_4_)_3_Al(C_2_O_4_)(PO_3_OH)_2_(H_2_O)","N^3- H Al C O P"
"Theisite","Theisite","Cu_5_Zn_5_(AsO_4_)_2_(OH)_14_","Cu^2+ Zn^2+ As^5+ O H"
"Thénardite","Thenardite","Na_2_(SO_4_)","Na S^6+ O"
"Theoparacelsite","Theoparacelsite","Cu_3_(OH)_2_As_2_O_7_","Cu^2+ O H As^5+"
"Theophrastite","Theophrastite","Ni(OH)_2_","Ni^2+ O H"
"Therasiaite","Therasiaite","(NH_4_)_3_KNa_2_Fe^2+^Fe^3+^(SO_4_)_3_Cl_5_","N^3- H K Na Fe^2+ Fe^3+ S^6+ O Cl"
"Thérèsemagnanite","Theresemagnanite","NaCo_4_(SO_4_)(OH)_6_Cl·6H_2_O","Na Co^2+ S^6+ O H Cl"
"Thermaerogenite","Thermaerogenite","CuAl_2_O_4_","Cu^2+ Al O"
"Thermessaite","Thermessaite","K_2_AlF_3_(SO_4_)","K Al F S^6+ O"
"Thermessaite-(NH<sub>4</sub>)","Thermessaite-(NH4)","(NH_4_)_2_AlF_3_(SO_4_)","N^3- H Al F S^6+ O"
"Thermonatrite","Thermonatrite","Na_2_(CO_3_)·H_2_O","Na C O H"
"Thomasclarkite-(Y)","Thomasclarkite-(Y)","NaY(HCO_3_)(OH)_3_·4H_2_O","Na Y H C O"
"Thometzekite","Thometzekite","PbCu^2+^_2_(AsO_4_)_2_·2H_2_O","Pb^2+ Cu^2+ As^5+ O H"
"Thomsenolite","Thomsenolite","NaCaAlF_6_·H_2_O","Na Ca Al F H O"
"Thomsonite-Ca","Thomsonite-Ca","NaCa_2_(Al_5_Si_5_)O_20_·6H_2_O","Na Ca Al Si O H"
"Thomsonite-Sr","Thomsonite-Sr","NaSr_2_(Al_5_Si_5_)O_20_·6-7H_2_O","Na Sr Al Si O H"
"Thorasphite","Thorasphite","Th_2_H(PO_4_,AsO_4_)_3_·6H_2_O","Th H P O As"
"Thorbastnäsite","Thorbastnasite","ThCa(CO_3_)_2_F_2_·3H_2_O","Th Ca C O F H"
"Thoreaulite","Thoreaulite","Sn^2+^Ta_2_O_6_","Sn^2+ Ta O"
"Thorianite","Thorianite","ThO_2_","Th O"
"Thorikosite","Thorikosite","Pb_3_O_3_Sb^3+^(OH)Cl_2_","Pb^2+ O Sb^3+ H Cl"
"Thorite","Thorite","Th(SiO_4_)","Th Si O"
"Thornasite","Thornasite","Na_12_Th_3_(Si_8_O_19_)_4_·18H_2_O","Na Th Si O H"
"Thorneite","Thorneite","Pb_6_(Te_2_O_10_)(CO_3_)Cl_2_(H_2_O)","Pb^2+ Te^6+ O C Cl H"
"Thorosteenstrupine","Thorosteenstrupine","(Ca,Th,Mn)_3_Si_4_O_11_F·6H_2_O","Ca Th^4+ Mn^2+ Mn^3+ Si O F H"
"Thortveitite","Thortveitite","Sc_2_Si_2_O_7_","Sc^3+ Si O"
"Thorutite","Thorutite","(Th,U,Ca)Ti_2_(O,OH)_6_","Th^4+ U^4+ Ca Ti^4+ O H"
"Threadgoldite","Threadgoldite","Al(UO_2_)_2_(PO_4_)_2_(OH)·8H_2_O","Al U^6+ O P H"
"Thunderbayite","Thunderbayite","TlAg_3_Au_3_Sb_7_S_6_","Tl Ag Au Sb S"
"Tiberiobardiite","Tiberiobardiite","{Cu_9_Al[SiO_3_(OH)]_2_(OH)_12_(H_2_O)_6_}(SO_4_)_1.5_·10H_2_O","Cu^2+ Al Si O H S^6+"
"Tiemannite","Tiemannite","HgSe","Hg^2+ Se^2-"
"Tienshanite","Tienshanite","K(Na,K,[box])_9_Ca_2_Ba_6_Mn^2+^_6_Ti_6_B_12_Si_36_O_114_(O,OH,F)_11_","K Na Ca Ba Mn^2+ Ti^4+ B Si O H F"
"Tiettaite","Tiettaite","K_4_Na_12_Fe^3+^_2_Si_16_O_41_(OH)_4_·2H_2_O","K Na Fe^3+ Si O H"
"Tikhonenkovite","Tikhonenkovite","SrAlF_4_(OH)·H_2_O","Sr Al F O H"
"Tilasite","Tilasite","CaMg(AsO_4_)F","Ca Mg As^5+ O F"
"Tilkerodeite","Tilkerodeite","Pd_2_HgSe_3_","Pd Hg Se"
"Tilleyite","Tilleyite","Ca_5_Si_2_O_7_(CO_3_)_2_","Ca Si O C"
"Tillmannsite","Tillmannsite","HgAg_3_(VO_4_)","Hg Ag V^5+ O"
"Timroseite","Timroseite","Pb_2_Cu_5_(TeO_6_)_2_(OH)_2_","Pb^2+ Cu^2+ Te^6+ O H"
"Tin","Tin","Sn","Sn"
"Tinaksite","Tinaksite","K_2_NaCa_2_TiSi_7_O_18_(OH)O","K Na Ca Ti^4+ Si O H"
"Tincalconite","Tincalconite","Na_2_B_4_O_5_(OH)_4_·3H_2_O","Na B O H"
"Tinnunculite","Tinnunculite","C_5_H_4_N_4_O_3_·2H_2_O","C H N O"
"Tinsleyite","Tinsleyite","KAl_2_(PO_4_)_2_(OH)·2H_2_O","K Al P O H"
"Tinticite","Tinticite","Fe^3+^_3_(PO_4_)_2_(OH)_3_·3H_2_O","Fe^3+ P O H"
"Tintinaite","Tintinaite","Pb_10_Cu_2_Sb_16_S_35_","Pb^2+ Cu^1+ Sb^3+ S^2-"
"Tinzenite","Tinzenite","Ca_2_Mn^2+^_4_Al_4_[B_2_Si_8_O_30_](OH)_2_","Ca Mn^2+ Al B Si O H"
"Tiptopite","Tiptopite","K_2_(Li,Na,Ca)_6_(Be_6_P_6_)O_24_(OH)_2_·1.3H_2_O","K Li Na Ca Be P O H"
"Tiragalloite","Tiragalloite","Mn^2+^_4_As^5+^Si_3_O_12_(OH)","Mn^2+ As^5+ Si O H"
"Tischendorfite","Tischendorfite","Pd_8_Hg_3_Se_9_","Pd Hg Se"
"Tisinalite","Tisinalite","Na_3_Mn^2+^TiSi_6_O_15_(OH)_3_","Na Mn^2+ Ti^4+ Si O H"
"Tissintite","Tissintite","(Ca,Na,[box])AlSi_2_O_6_","Ca Na Al Si O"
"Tistarite","Tistarite","Ti_2_O_3_","Ti^3+ O"
"Titanite","Titanite","CaTi(SiO_4_)O","Ca Ti^4+ Si O"
"Titanium","Titanium","Ti","Ti"
"Titanoholtite","Titanoholtite","(Ti_0.75_[box]_0.25_)Al_6_BSi_3_O_18_","Ti^4+ Al B Si O"
"Titanomaghemite","Titanomaghemite","(Ti_0.5_[box]_0.5_)Fe^3+^_2_O_4_","Ti^4+ Fe^3+ O"
"Titanowodginite","Titanowodginite","Mn^2+^TiTa_2_O_8_","Mn^2+ Ti^4+ Ta^5+ O"
"Titantaramellite","Titantaramellite","Ba_4_(Ti,Fe^3+^,Mg)_4_(O,OH)_2_[B_2_Si_8_O_27_]Cl_x_","Ba Ti^4+ Fe^3+ Mg O H B Si Cl"
"Tivanite","Tivanite","TiV^3+^O_3_(OH)","Ti^4+ V^3+ O H"
"Tlalocite","Tlalocite","Cu_10_Zn_6_(Te^4+^O_3_)(Te^6+^O_4_)_2_Cl(OH)_25_·27H_2_O","Cu^2+ Zn^2+ Te^4+ O Te^6+ Cl H"
"Tlapallite","Tlapallite","H_6_(Ca,Pb)_2_(Cu,Zn)_3_O_2_(SO_4_)(Te^4+^O_3_)_4_(Te^6+^O_4_)","H Ca Cu^2+ S^6+ O Te^4+ Te^6+"
"Tobelite","Tobelite","(NH_4_)Al_2_(Si_3_Al)O_10_(OH)_2_","N^3- H Al Si O"
"Tobermorite","Tobermorite","Ca_4_Si_6_O_17_(H_2_O)_2_·(Ca·3H_2_O)","Ca Si O H"
"Tochilinite","Tochilinite","6(Fe_0.9_S)·5[(Mg,Fe)(OH)_2_]","Fe^2+ S^2- Mg O H"
"Tocornalite","Tocornalite","(Ag,Hg)I (?)","Ag^1+ Hg^1+ I^1-"
"Todorokite","Todorokite","(Na,Ca,K,Ba,Sr)_1-x_(Mn,Mg,Al)_6_O_12_·3-4H_2_O","Na Ca K Ba Sr Mn^4+ Mn^3+ Mg Al O H"
"Tokkoite","Tokkoite","K_2_Ca_4_Si_7_O_18_(OH)F","K Ca Si O H F"
"Tokyoite","Tokyoite","Ba_2_Mn^3+^(VO_4_)_2_OH","Ba Mn^3+ V^5+ O H"
"Tolbachite","Tolbachite","CuCl_2_","Cu^2+ Cl"
"Tolovkite","Tolovkite","IrSbS","Ir Sb S"
"Tolstykhite","Tolstykhite","Au_3_S_4_Te_6_","Au S Te"
"Tomamaeite","Tomamaeite","Cu_3_Pt","Cu Pt"
"Tombstoneite","Tombstoneite","(Ca_0.5_Pb_0.5_)Pb_3_Cu^2+^_6_Te^6+^_2_O_6_(Te^4+^O_3_)_6_(Se^4+^O_3_)_2_(SO_4_)_2_·3H_2_O","Ca Pb^2+ Cu^2+ Te^6+ O Te^4+ Se^4+ S^6+ H"
"Tomichite","Tomichite","V^3+^_4_Ti^4+^_3_As^3+^O_13_(OH)","V^3+ Ti^4+ As^3+ O H"
"Tomiolloite","Tomiolloite","Al_12_(Te^4+^O_3_)_5_[(SO_3_)_0.5_(SO_4_)_0.5_](OH)_24_","Al Te^4+ O S S^6+ H"
"Tondiite","Tondiite","Cu_3_MgCl_2_(OH)_6_","Cu^2+ Mg Cl O H"
"Tongbaite","Tongbaite","Cr_3_C_2_","Cr C"
"Tooeleite","Tooeleite","Fe^3+^_6_(AsO_3_)_4_(SO_4_)(OH)_4_·4H_2_O","Fe^3+ As^3+ O S^6+ H"
"Topaz","Topaz","Al_2_SiO_4_F_2_","Al Si O F"
"Topsøeite","Topsoeite","FeF_3_(H_2_O)_3_","Fe^3+ F H O"
"Torbernite","Torbernite","Cu(UO_2_)_2_(PO_4_)_2_·12H_2_O","Cu^2+ U^6+ O P H"
"Törnebohmite-(Ce)","Tornebohmite-(Ce)","Ce_2_Al(SiO_4_)_2_(OH)","Ce Al Si O H"
"Törnebohmite-(La)","Tornebohmite-(La)","La_2_Al(SiO_4_)_2_(OH)","La Al Si O H"
"Törnroosite","Tornroosite","Pd_11_As_2_Te_2_","Pd As Te"
"Torrecillasite","Torrecillasite","Na(As,Sb)^3+^_4_O_6_Cl","Na As^3+ Sb^3+ O Cl"
"Torreyite","Torreyite","Mg_9_Zn_4_(SO_4_)_2_(OH)_22_·8H_2_O","Mg Zn^2+ S^6+ O H"
"Torryweiserite","Torryweiserite","Rh_5_Ni_10_S_16_","Rh Ni S"
"Tosudite","Tosudite","Na_0.5_(Al,Mg)_6_(Si,Al)_8_O_18_(OH)_12_·5H_2_O","Na Al Mg Si O H"
"Toturite","Toturite","Ca_3_Sn_2_(SiFe^3+^_2_)O_12_","Ca Sn^4+ Fe^3+ Si O"
"Tounkite","Tounkite","(Na,Ca,K)_8_(Si_6_Al_6_)O_24_(SO_4_)_2_Cl·0.5H_2_O","Na Ca K Si Al O S^6+ Cl H"
"Townendite","Townendite","Na_8_ZrSi_6_O_18_","Na Zr^4+ Si O"
"Toyohaite","Toyohaite","Ag^1+^(Fe^2+^_0.5_Sn^4+^_1.5_)S_4_","Ag^1+ Fe^2+ Sn^4+ S"
"Trabzonite","Trabzonite","Ca_4_[Si_3_O_9_(OH)](OH)","Ca Si O H"
"Tranquillityite","Tranquillityite","Fe^2+^_8_Ti_3_Zr_2_Si_3_O_24_","Fe^2+ Ti^4+ Zr^4+ Si O"
"Transjordanite","Transjordanite","Ni_2_P","Ni P"
"Traskite","Traskite","Ba_21_Ca(Fe^2+^,Mn,Ti)_4_(Ti,Fe,Mg)_12_(Si_12_O_36_)(Si_2_O_7_)_6_(O,OH)_30_Cl_6_·14H_2_O","Ba Ca Fe^2+ Mn^2+ Ti^4+ Mg Si O H Cl"
"Trattnerite","Trattnerite","Fe^3+^_2_(Mg_3_Si_12_)O_30_","Fe^3+ Mg Si O"
"Treasurite","Treasurite","Ag_7_Pb_6_Bi_15_S_30_","Ag Pb Bi S"
"Trébeurdenite","Trebeurdenite","Fe^2+^_2_Fe^3+^_4_O_2_(OH)_10_(CO_3_)·3H_2_O","Fe^2+ Fe^3+ O H C"
"Trebiskyite","Trebiskyite","Na_3_Mg_2_[TiV_9_O_28_]·22H_2_O","Na Mg Ti^4+ V^5+ O H"
"Trechmannite","Trechmannite","AgAsS_2_","Ag^1+ As^3+ S^2-"
"Tredouxite","Tredouxite","NiSb_2_O_6_","Ni^2+ Sb^5+ O"
"Trembathite","Trembathite","Mg_3_B_7_O_13_Cl","Mg B O Cl"
"Tremolite","Tremolite","[box]Ca_2_(Mg_5.0-4.5_Fe^2+^_0.0-0.5_)Si_8_O_22_(OH)_2_","Ca Mg Si O H"
"Trevorite","Trevorite","NiFe^3+^_2_O_4_","Ni^2+ Fe^3+ O"
"Triangulite","Triangulite","Al_3_(UO_2_)_4_(PO_4_)_4_(OH)_5_·5H_2_O","Al U^6+ O P H"
"Triazolite","Triazolite","NaCu_2_(N_3_C_2_H_2_)_2_(NH_3_)_2_Cl_3_·4H_2_O","Na Cu N C H N^3- Cl O"
"Tridymite","Tridymite","SiO_2_","Si O"
"Trigonite","Trigonite","Pb_3_Mn^2+^(AsO_3_)_2_(AsO_2_OH)","Pb^2+ Mn^2+ As^3+ O H"
"Trikalsilite","Trikalsilite","K_2_NaAl_3_(SiO_4_)_3_","K Na Al Si O"
"Trilithionite","Trilithionite","KLi_1.5_Al_1.5_(Si_3_Al)O_10_F_2_","K Li Al Si O F"
"Trimerite","Trimerite","CaBe_3_Mn^2+^_2_(SiO_4_)_3_","Ca Mn^2+ Be Si O"
"Trimounsite-(Y)","Trimounsite-(Y)","Y_2_Ti_2_SiO_9_","Y^3+ Ti^4+ O Si"
"Trinepheline","Trinepheline","NaAlSiO_4_","Na Al Si O"
"Triphylite","Triphylite","LiFe^2+^(PO_4_)","Li Fe^2+ P O"
"Triplite","Triplite","Mn^2+^_2_(PO_4_)F","Mn^2+ P O F"
"Triploidite","Triploidite","Mn^2+^_2_(PO_4_)(OH)","Mn^2+ P O H"
"Trippkeite","Trippkeite","Cu^2+^As^3+^_2_O_4_","Cu^2+ As^3+ O"
"Tripuhyite","Tripuhyite","Fe^3+^Sb^5+^O_4_","Fe^3+ Sb^5+ O"
"Tristramite","Tristramite","(Ca,U^4+^,Fe^3+^)(PO_4_,SO_4_)·2H_2_O","Ca U^4+ Fe^3+ P O S^6+ H"
"Tritomite-(Ce)","Tritomite-(Ce)","Ce_5_(SiO_4_,BO_4_)_3_(OH,O)","Ce Si O B H"
"Tritomite-(Y)","Tritomite-(Y)","Y_5_(SiO_4_,BO_4_)_3_(O,OH,F)","Y Si O B H F"
"Trögerite","Trogerite","(H_3_O)(UO_2_)(AsO_4_)·3H_2_O","H O U^6+ As^5+"
"Trogtalite","Trogtalite","CoSe_2_","Co^2+ Se"
"Troilite","Troilite","FeS","Fe^2+ S^2-"
"Trolleite","Trolleite","Al_4_(PO_4_)_3_(OH)_3_","Al P O H"
"Trona","Trona","Na_3_(HCO_3_)(CO_3_)·2H_2_O","Na H C O"
"Truscottite","Truscottite","Ca_14_Si_24_O_58_(OH)_8_·2H_2_O","Ca Si O H"
"Trüstedtite","Trustedtite","Ni^2+^Ni^3+^_2_Se_4_","Ni^2+ Ni^3+ Se^2-"
"Tsangpoite","Tsangpoite","Ca_5_(PO_4_)_2_(SiO_4_)","Ca P O Si"
"Tsaregorodtsevite","Tsaregorodtsevite","N(CH_3_)_4_Si_4_(SiAl)O_12_","N C H Si Al O"
"Tschaunerite","Tschaunerite","(Fe^2+^)(Fe^2+^Ti^4+^)O_4_","Fe^2+ Ti^4+ O"
"Tschermakite","Tschermakite","[box]Ca_2_(Mg_3_Al_2_)(Si_6_Al_2_)O_22_(OH)_2_","Ca Mg Al Si O H"
"Tschermigite","Tschermigite","(NH_4_)Al(SO_4_)_2_·12H_2_O","N^3- H Al S^6+ O"
"Tschernichite","Tschernichite","CaAl_2_Si_6_O_16_·8H_2_O","Ca Al Si O H"
"Tschörtnerite","Tschortnerite","Ca_4_(K,Ca,Sr,Ba)_3_Cu_3_Al_12_Si_12_O_48_(OH)_8_·20H_2_O","Ca K Sr Ba Cu^2+ Al Si O H"
"Tsepinite-Ca","Tsepinite-Ca","(Ca,K,Na)_2-x_(Ti,Nb)_2_(Si_4_O_12_)(OH,O)_2_·4H_2_O","Ca K Na Ti^4+ Nb^5+ Si O H"
"Tsepinite-K","Tsepinite-K","(K,Ba,Na)_2_(Ti,Nb)_2_(Si_4_O_12_)(OH,O)_2_·3H_2_O","K Ba Na Ti^4+ Nb^5+ Si O H"
"Tsepinite-Na","Tsepinite-Na","(Na,H_3_O,K,Sr,Ba,[box])_2_(Ti,Nb)_2_(Si_4_O_12_)(OH,O)_2_·3H_2_O","Na H O K Sr Ba Ti^4+ Si"
"Tsepinite-Sr","Tsepinite-Sr","(Sr,Ba,K)(Ti,Nb)_2_(Si_4_O_12_)(OH,O)_2_·3H_2_O","Sr Ba K Ti^4+ Nb^5+ Si O H"
"Tsikourasite","Tsikourasite","Mo_3_Ni_2_P_1+x_ (x < 0.25)","Mo Ni P"
"Tsilaisite","Tsilaisite","NaMn^2+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_(OH)","Na Mn^2+ Al Si O B H"
"Tsnigriite","Tsnigriite","Ag_9_SbTe_3_S_3_","Ag Sb Te S"
"Tsugaruite","Tsugaruite","Pb_28_As_15_S_50_Cl","Pb^2+ As^3+ S^2- Cl"
"Tsumcorite","Tsumcorite","PbZn_2_(AsO_4_)_2_·2H_2_O","Pb^2+ Zn^2+ As^5+ O H"
"Tsumebite","Tsumebite","Pb_2_Cu(PO_4_)(SO_4_)(OH)","Pb^2+ Cu^2+ P O S^6+ H"
"Tsumgallite","Tsumgallite","GaO(OH)","Ga O H"
"Tsumoite","Tsumoite","BiTe","Bi Te"
"Tsygankoite","Tsygankoite","Mn_8_Tl_8_Hg_2_(Sb_21_Pb_2_Tl)S_48_","Mn^2+ Tl^1+ Hg^2+ Sb^3+ Pb^2+ S^2-"
"Tubulite","Tubulite","Ag_2_Pb_22_Sb_20_S_53_","Ag^1+ Pb^2+ Sb^3+ S^2-"
"Tučekite","Tucekite","Ni_9_Sb_2_S_8_","Ni Sb S"
"Tugarinovite","Tugarinovite","MoO_2_","Mo^4+ O"
"Tugtupite","Tugtupite","Na_4_BeAlSi_4_O_12_Cl","Na Be Al Si O Cl"
"Tuhualite","Tuhualite","NaFe^2+^Fe^3+^Si_6_O_15_","Na Fe^2+ Fe^3+ Si O"
"Tuite","Tuite","Ca_3_(PO_4_)_2_","Ca P O"
"Tulameenite","Tulameenite","Pt_2_CuFe","Cu Fe Pt"
"Tuliokite","Tuliokite","Na_6_BaTh(CO_3_)_6_·6H_2_O","Na Ba Th C O H"
"Tululite","Tululite","Ca_14_(Fe^3+^,Al)(Al,Zn,Fe^3+^,Si,P,Mn,Mg)_15_O_36_","Ca Fe^3+ Al Zn^2+ Si P Mn^3+ Mg O"
"Tumchaite","Tumchaite","Na_2_ZrSi_4_O_11_·2H_2_O","Na Zr^4+ Si O H"
"Tundrite-(Ce)","Tundrite-(Ce)","Na_2_Ce_2_TiO_2_(SiO_4_)(CO_3_)_2_","Na Ce^3+ Ti^4+ O Si C"
"Tundrite-(Nd)","Tundrite-(Nd)","Na_2_Nd_2_TiO_2_(SiO_4_)(CO_3_)_2_","Na Nd^3+ Ti^4+ O Si C"
"Tunellite","Tunellite","SrB_6_O_9_(OH)_2_·3H_2_O","Sr B O H"
"Tungsten","Tungsten","W","W"
"Tungstenite","Tungstenite","WS_2_","W S"
"Tungstibite","Tungstibite","Sb_2_WO_6_","Sb^3+ W^6+ O"
"Tungstite","Tungstite","WO_3_·H_2_O","W O H"
"Tungusite","Tungusite","Ca_14_Fe^2+^_9_Si_24_O_60_(OH)_22_","Ca Fe^2+ Si O H"
"Tunisite","Tunisite","NaCa_2_Al_4_(CO_3_)_4_(OH)_8_Cl","Na Ca Al C O H Cl"
"Tuperssuatsiaite","Tuperssuatsiaite","Na_2_(Fe^3+^,Mn^2+^)_3_Si_8_O_20_(OH)_2_·4H_2_O","Na Fe^3+ Mn^2+ Si O H"
"Turanite","Turanite","Cu^2+^_5_(VO_4_)_2_(OH)_4_","Cu^2+ V^5+ O H"
"Turkestanite","Turkestanite","(K,[box])(Ca,Na)_2_ThSi_8_O_20_·nH_2_O","K Ca Na Th Si O H"
"Turneaureite","Turneaureite","Ca_5_(AsO_4_)_3_Cl","Ca As^5+ O Cl"
"Turquoise","Turquoise","CuAl_6_(PO_4_)_4_(OH)_8_·4H_2_O","Cu^2+ Al P O H"
"Turtmannite","Turtmannite","Mn_25_O_5_(VO_4_)_3_(SiO_4_)_3_(OH)_20_","Mn^2+ O V^5+ Si H"
"Tuscanite","Tuscanite","KCa_6_(Si,Al)_10_O_22_(SO_4_,CO_3_)_2_(OH)·H_2_O","K Ca Si Al O S^6+ C H"
"Tusionite","Tusionite","Mn^2+^Sn(BO_3_)_2_","Mn^2+ Sn^4+ B O"
"Tuzlaite","Tuzlaite","NaCaB_5_O_8_(OH)_2_·3H_2_O","Na Ca B O H"
"Tvalchrelidzeite","Tvalchrelidzeite","Hg_3_SbAsS_3_","Hg Sb As S"
"Tvedalite","Tvedalite","Ca_4_Be_3_Si_6_O_17_(OH)_4_·3H_2_O","Ca Be Si O H"
"Tveitite-(Y)","Tveitite-(Y)","(Y,Na)_6_(Ca,Na,REE)_12_(Ca,Na)F_42_","Y Na Ca F"
"Tvrdýite","Tvrdyite","Fe^2+^Fe^3+^_2_Al_3_(PO_4_)_4_(OH)_5_(H_2_O)_4_·2H_2_O","Fe^2+ Fe^3+ Al P O H"
"Tweddillite","Tweddillite","CaSr(Mn^3+^_2_Al)[Si_2_O_7_][SiO_4_]O(OH)","Ca Sr Mn^3+ Al Si O H"
"Twinnite","Twinnite","Pb(Sb_0.63_As_0.37_)_2_S_4_","Pb^2+ Sb^3+ S^2-"
"Tychite","Tychite","Na_6_Mg_2_(CO_3_)_4_(SO_4_)","Na Mg C O S^6+"
"Tyretskite","Tyretskite","Ca_2_B_5_O_9_(OH)·H_2_O","Ca B O H"
"Tyrolite","Tyrolite","Ca_2_Cu_9_(AsO_4_)_4_(CO_3_)(OH)_8_·11H_2_O","Ca Cu^2+ As^5+ O C H"
"Tyrrellite","Tyrrellite","Cu(Co,Ni)_2_Se_4_","Cu^2+ Co^3+ Ni^3+ Se^2-"
"Tyuyamunite","Tyuyamunite","Ca(UO_2_)_2_(VO_4_)_2_·5-8H_2_O","Ca U^6+ O V^5+ H"
"Uakitite","Uakitite","VN","V N"
"Uchucchacuaite","Uchucchacuaite","AgMnPb_3_Sb_5_S_12_","Ag^1+ Mn^2+ Pb^2+ Sb^3+ S^2-"
"Udinaite","Udinaite","NaMg_4_(VO_4_)_3_","Na Mg V^5+ O"
"Uduminelite","Uduminelite","Ca_3_Al_8_(PO_4_)_2_O_12_·2H_2_O","Ca Al P O H"
"Uedaite-(Ce)","Uedaite-(Ce)","Mn^2+^CeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)","Mn^2+ Ce^3+ Al Fe^2+ Si O H"
"Uklonskovite","Uklonskovite","NaMg(SO_4_)F·2H_2_O","Na Mg S^6+ O F H"
"Ulexite","Ulexite","NaCaB_5_O_6_(OH)_6_·5H_2_O","Na Ca B O H"
"Ulfanderssonite-(Ce)","Ulfanderssonite-(Ce)","(Ce_15_Ca)_Σ16_Mg_2_(SiO_4_)_10_(SiO_3_OH)(OH,F)_5_Cl_3_","Ce^3+ Ca Mg Si O H F Cl"
"Ullmannite","Ullmannite","NiSbS","Ni Sb S"
"Ulrichite","Ulrichite","CaCu(UO_2_)(PO_4_)_2_·4H_2_O","Ca Cu^2+ U^6+ O P H"
"Ulvöspinel","Ulvospinel","Fe^2+^_2_TiO_4_","Fe^2+ Ti^4+ O"
"Umangite","Umangite","Cu_3_Se_2_","Cu Se"
"Umbite","Umbite","K_2_ZrSi_3_O_9_·H_2_O","K Zr^4+ Si O H"
"Umbozerite","Umbozerite","Na_3_Sr_4_ThSi_8_(O,OH)_24_","Na Sr Th^4+ Si O H"
"Umbrianite","Umbrianite","K_7_Na_2_Ca_2_[Al_3_Si_10_O_29_]F_2_Cl_2_","K Na Ca Al Si O F Cl"
"Umohoite","Umohoite","(UO_2_)(MoO_4_)·2H_2_O","U^6+ O Mo^6+ H"
"Ungavaite","Ungavaite","Pd_4_Sb_3_","Pd Sb"
"Ungemachite","Ungemachite","K_3_Na_8_Fe^3+^(SO_4_)_6_(NO_3_)_2_·6H_2_O","K Na Fe^3+ S^6+ O N^5+ H"
"Upalite","Upalite","Al(UO_2_)_3_(PO_4_)_2_O(OH)·7H_2_O","Al U^6+ O P H"
"Uralborite","Uralborite","CaB_2_O_2_(OH)_4_","Ca B O H"
"Uralolite","Uralolite","Ca_2_Be_4_(PO_4_)_3_(OH)_3_·5H_2_O","Ca Be P O H"
"Uramarsite","Uramarsite","(NH_4_)(UO_2_)(AsO_4_)·3H_2_O","N^3- H U^6+ O As^5+"
"Uramphite","Uramphite","(NH_4_)(UO_2_)(PO_4_)·3H_2_O","N^3- H U^6+ O P"
"Urancalcarite","Urancalcarite","Ca(UO_2_)_3_(CO_3_)(OH)_6_·3H_2_O","Ca U^6+ O C H"
"Uraninite","Uraninite","UO_2_","U^4+ O"
"Uranocircite-II","Uranocircite-II","Ba(UO_2_)_2_(PO_4_)_2_·10H_2_O","Ba U^6+ O P H"
"Uranoclite","Uranoclite","(UO_2_)_2_(OH)_2_Cl_2_(H_2_O)_4_","U^6+ O H Cl"
"Uranophane-α","Uranophane-alpha","Ca(UO_2_)_2_(SiO_3_OH)_2_·5H_2_O","Ca U^6+ O Si H"
"Uranophane-β","Uranophane-beta","Ca(UO_2_)_2_(SiO_3_OH)_2_·5H_2_O","Ca U^6+ O Si H"
"Uranopilite","Uranopilite","(UO_2_)_6_(SO_4_)O_2_(OH)_6_·14H_2_O","U^6+ O S^6+ H"
"Uranopolycrase","Uranopolycrase","(U,Y)(Ti,Nb,Ta)_2_(O,OH)_6_","U^4+ Y^3+ Ti^4+ Nb^5+ Ta^5+ O H"
"Uranosilite","Uranosilite","(UO_2_)Si_7_O_15_","U^6+ O Si"
"Uranospathite","Uranospathite","(Al,[box])(UO_2_)_2_F(PO_4_)_2_·20H_2_O","Al U^6+ O F P H"
"Uranosphaerite","Uranosphaerite","Bi(UO_2_)O_2_(OH)","Bi^3+ U^6+ O H"
"Uranospinite","Uranospinite","Ca(UO_2_)_2_(AsO_4_)_2_·10H_2_O","Ca U^6+ O As^5+ H"
"Uranotungstite","Uranotungstite","Fe(UO_2_)_2_(WO_4_)(OH)_4_·12H_2_O","Fe^2+ U^6+ O W^6+ H"
"Urea","Urea","CO(NH_2_)_2_","C O N^3- H"
"Uricite","Uricite","C_5_H_4_N_4_O_3_","C H N O"
"Uroxite","Uroxite","[(UO_2_)_2_(C_2_O_4_)(OH)_2_(H_2_O)_2_]·H_2_O","U^6+ O C H"
"Urusovite","Urusovite","CuAlO(AsO_4_)","Cu^2+ Al O As^5+"
"Urvantsevite","Urvantsevite","Pd(Bi,Pb)_2_","Pd Bi Pb"
"Ushkovite","Ushkovite","MgFe^3+^_2_(PO_4_)_2_(OH)_2_·8H_2_O","Mg Fe^3+ P O H"
"Usovite","Usovite","Ba_2_CaMgAl_2_F_14_","Ba Ca Mg Al F"
"Ussingite","Ussingite","Na_2_AlSi_3_O_8_(OH)","Na Al Si O H"
"Ustarasite","Ustarasite","Pb(Bi,Sb)_6_S_10_","Pb^2+ Bi^3+ Sb^3+ S^2-"
