"Mineral Name","Mineral Name (plain)","IMA Chemistry (concise)","Valence Elements"
"Anastasenkoite","Anastasenkoite","CaFe^2+^P_2_O_7_","Ca Fe^2+ P O"
"Anatase","Anatase","TiO_2_","Ti^4+ O"
"Anatolyite","Anatolyite","Na_6_(Ca,Na)(Mg,Fe^3+^)_3_Al(AsO_4_)_6_","Na Ca Mg Fe^3+ Al As^5+ O"
"Ancylite-(Ce)","Ancylite-(Ce)","CeSr(CO_3_)_2_(OH)·H_2_O","Ce Sr C O H"
"Ancylite-(La)","Ancylite-(La)","LaSr(CO_3_)_2_(OH)·H_2_O","La Sr C O H"
"Andalusite","Andalusite","Al_2_SiO_5_","Al Si O"
"Andersonite","Andersonite","Na_2_Ca(UO_2_)(CO_3_)_3_·5-6H_2_O","Na Ca U^6+ O C H"
"Andorite IV","Andorite IV","AgPbSb_3_S_6_","Ag^1+ Pb^2+ Sb^3+ S^2-"
"Andorite VI","Andorite VI","AgPbSb_3_S_6_","Ag^1+ Pb^2+ Sb^3+ S^2-"
"Andradite","Andradite","Ca_3_Fe^3+^_2_(SiO_4_)_3_","Ca Fe^3+ Si O"
"Andreadiniite","Andreadiniite","CuHgAg_7_Pb_7_Sb_24_S_48_","Cu^1+ Hg^2+ Ag^1+ Pb^2+ Sb^3+ S^2-"
"Andrémeyerite","Andremeyerite","BaFe^2+^_2_(Si_2_O_7_)","Ba Fe^2+ Si O"
"Andreyivanovite","Andreyivanovite","FeCrP","Fe Cr P"
"Andrianovite","Andrianovite","Na_12_(K,Sr,Ce)_3_Ca_6_Mn_3_Zr_3_Nb(Si_25_O_73_)(O,H_2_O,OH)_5_","Na K Sr Ce^3+ Ca Mn^2+ Zr^4+ Nb^5+ Si O H"
"Anduoite","Anduoite","RuAs_2_","Ru As"
"Andychristyite","Andychristyite","PbCu^2+^Te^6+^O_5_(H_2_O)","Pb^2+ Cu^2+ Te^6+ O H"
"Andymcdonaldite","Andymcdonaldite","Fe_2_TeO_6_","Fe^3+ Te^6+ O"
