"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Chemistry Elements"
"Rossite","Rossite","Ca(VO3)2·4H2O","Ca V O H"
"Rösslerite","Rosslerite","Mg(AsO3OH)·7H2O","Mg As O H"
"Rossmanite","Rossmanite","[box](Al2Li)Al6(Si6O18)(BO3)3(OH)3(OH)","Al Li Si O B H"
"Rossovskyite","Rossovskyite","(Fe3+,Ta)(Nb,Ti)O4","Fe Ta Nb Ti O"
"Rostite","Rostite","Al(SO4)(OH)·5H2O","Al S O H"
"Roterbärite","Roterbarite","PdCuBiSe3","Pd Cu Bi Se"
"Rouaite","Rouaite","Cu2(NO3)(OH)3","Cu N O H"
"Roubaultite","Roubaultite","Cu2O2(UO2)3(CO3)2(OH)2·4H2O","Cu O U C H"
"Roumaite","Roumaite","(Nb,Ti)(Ca,Na,[box])3(Ca,REE)4(Si2O7)2(OH)F3","Nb Ti Ca Na REE Si O H F"
"Rouseite","Rouseite","Pb2Mn2+(AsO3)2·2H2O","Pb Mn As O H"
"Routhierite","Routhierite","TlCuHg2As2S6","Tl Cu Hg As S"
"Rouvilleite","Rouvilleite","Na3Ca2(CO3)3F","Na Ca C O F"
"Rouxelite","Rouxelite","Cu2HgPb22Sb28S64(O,S)2","Cu Hg Pb Sb S O"
"Roweite","Roweite","Ca2Mn2+2B4O7(OH)6","Ca Mn B O H"
"Rowlandite-(Y)","Rowlandite-(Y)","Fe2+Y4(Si2O7)2F2","Fe Y Si O F"
"Rowleyite","Rowleyite","[Na(NH4,K)9Cl4][V5+,4+2(P,As)O8]6·n[H2O,Na,NH4,K,Cl]","Na N H K Cl V P As O"
"Roxbyite","Roxbyite","Cu9S5","Cu S"
"Roymillerite","Roymillerite","Pb24Mg9(Si10O28)(CO3)10(BO3)(SiO4)(OH)13O5","Pb Mg Si O C B H"
"Rozenite","Rozenite","Fe2+(SO4)·4H2O","Fe S O H"
"Rozhdestvenskayaite-(Zn)","Rozhdestvenskayaite-(Zn)","Ag6(Ag4Zn2)Sb4S13","Ag Zn Sb S"
"Rruffite","Rruffite","Ca2Cu(AsO4)2·2H2O","Ca Cu As O H"
"Ruarsite","Ruarsite","RuAsS","Ru As S"
"Rubicline","Rubicline","Rb(AlSi3O8)","Rb Al Si O"
"Rubinite","Rubinite","Ca3Ti3+2Si3O12","Ca Ti Si O"
"Rucklidgeite","Rucklidgeite","PbBi2Te4","Pb Bi Te"
"Rudabányaite","Rudabanyaite","(Ag2Hg2)(AsO4)Cl","Ag Hg As O Cl"
"Rudashevskyite","Rudashevskyite","(Fe,Zn)S","Fe Zn S"
"Rudenkoite","Rudenkoite","Sr3Al3.5Si3.5O10(OH,O)8Cl2·H2O","Sr Al Si O H Cl"
"Rüdlingerite","Rudlingerite","Mn2+2V5+As5+O7·2H2O","Mn V As O H"
"Rudolfhermannite","Rudolfhermannite","Fe3+2(Te4+O3)3·H2O","Fe Te O H"
"Ruifrancoite","Ruifrancoite","Ca2([box],Mn)2(Fe3+,Mn,Mg)4Be4(PO4)6(OH)6·4H2O","Ca Mn Fe Mg Be P O H"
"Ruitenbergite","Ruitenbergite","Ca9B26O34(OH)24Cl4·13H2O","Ca B O H Cl"
"Ruizite","Ruizite","Ca2Mn3+2Si4O11(OH)4·2H2O","Ca Mn Si O H"
"Rumoiite","Rumoiite","AuSn2","Au Sn"
"Rumseyite","Rumseyite","[Pb2OF]Cl","Pb O F Cl"
"Rusakovite","Rusakovite","(Fe,Al)5(VO4)2(OH)9·3H2O","Fe Al V O H"
"Rusinovite","Rusinovite","Ca10(Si2O7)3Cl2","Ca Si O Cl"
"Russellite","Russellite","Bi2WO6","Bi W O"
"Russoite","Russoite","(NH4)ClAs2O3(H2O)0.5","N H Cl As O"
"Rustenburgite","Rustenburgite","Pt3Sn","Pt Sn"
"Rustumite","Rustumite","Ca10(Si2O7)2(SiO4)(OH)2Cl2","Ca Si O H Cl"
"Ruthenarsenite","Ruthenarsenite","(Ru,Ni)As","Ru Ni As"
"Rutheniridosmine","Rutheniridosmine","(Ir,Os,Ru)","Ir Os Ru"
"Ruthenium","Ruthenium","Ru","Ru"
"Rutherfordine","Rutherfordine","(UO2)(CO3)","U O C"
"Rutile","Rutile","TiO2","Ti O"
"Ryabchikovite","Ryabchikovite","CuMgSi2O6","Cu Mg Si O"
"Rynersonite","Rynersonite","CaTa2O6","Ca Ta O"
"Saamite","Saamite","Ba[box]TiNbNa3Ti(Si2O7)2O2(OH)2(H2O)2","Ba Ti Nb Na Si O H"
"Sabatierite","Sabatierite","Cu6TlSe4","Cu Tl Se"
"Sabelliite","Sabelliite","Cu2Zn(AsO4)(OH)3","Cu Zn As O H"
"Sabieite","Sabieite","(NH4)Fe3+(SO4)2","N H Fe S O"
"Sabinaite","Sabinaite","Na4TiZr2O4(CO3)4","Na Ti Zr O C"
"Sabugalite","Sabugalite","HAl(UO2)4(PO4)4·16H2O","H Al U O P"
"Saccoite","Saccoite","Ca2Mn3+2F(OH)8·0.5(SO4)","Ca Mn F O H S"
"Sacrofanite","Sacrofanite","(Na61K19Ca32)Σ=112(Si84Al84O336)(SO4)26Cl2F6·2H2O","Na K Ca Si Al O S Cl F H"
"Sadanagaite","Sadanagaite","NaCa2(Mg3Al2)(Si5Al3)O22(OH)2","Na Ca Mg Al Si O H"
"Saddlebackite","Saddlebackite","Pb2Bi2Te2S3","Pb Bi Te S"
"Safflorite","Safflorite","CoAs2","Co As"
"Sahamalite-(Ce)","Sahamalite-(Ce)","Ce2Mg(CO3)4","Ce Mg C O"
"Sahlinite","Sahlinite","Pb14O9(AsO4)2Cl4","Pb O As Cl"
"Sailaufite","Sailaufite","(Ca,Na,[box])2Mn3+3O2(AsO4)2(CO3)·3H2O","Ca Na Mn O As C H"
"Sainfeldite","Sainfeldite","Ca5(AsO4)2(AsO3OH)2·4H2O","Ca As O H"
"Sakhaite","Sakhaite","Ca48Mg16(BO3)32(CO3)16·2(H2O,HCl)","Ca Mg B O C H Cl"
"Sakuraiite","Sakuraiite","(Cu,Zn,Fe)3(In,Sn)S4","Cu Zn Fe In Sn S"
"Salammoniac","Salammoniac","(NH4)Cl","N H Cl"
"Saléeite","Saleeite","Mg(UO2)2(PO4)2(H2O)10","Mg U O P H"
"Salesite","Salesite","Cu(IO3)(OH)","Cu I O H"
"Saliotite","Saliotite","(Li,Na)Al3(Si3Al)O10(OH)5","Li Na Al Si O H"
"Saltonseaite","Saltonseaite","K3NaMnCl6","K Na Mn Cl"
"Salzburgite","Salzburgite","Cu1.6Pb1.6Bi6.4S12","Cu Pb Bi S"
"Samaniite","Samaniite","Cu2Fe5Ni2S8","Cu Fe Ni S"
"Samarskite-(Y)","Samarskite-(Y)","YFe3+Nb2O8","Y Fe Nb O"
"Samarskite-(Yb)","Samarskite-(Yb)","YbNbO4","Yb Nb O"
"Samfowlerite","Samfowlerite","Ca14Mn2+3Zn2Be2Be6Si14O52(OH)6","Ca Mn Zn Be Si O H"
"Sampleite","Sampleite","NaCaCu5(PO4)4Cl·5H2O","Na Ca Cu P O Cl H"
"Samraite","Samraite","Ni2P2O7","Ni P O"
"Samsonite","Samsonite","Ag4MnSb2S6","Ag Mn Sb S"
"Samuelsonite","Samuelsonite","Ca9Mn2+4Al2(PO4)10(OH)2","Ca Mn Al P O H"
"Sanbornite","Sanbornite","BaSi2O5","Ba Si O"
"Sanderite","Sanderite","Mg(SO4)·2H2O","Mg S O H"
"Saneroite","Saneroite","NaMn2+5[Si5O14(OH)](VO3)(OH)","Na Mn Si O H V"
"Sangenaroite","Sangenaroite","Ag8(Sb8-xAsx)S16 (0 < x < 2)","Ag Sb As S"
"Sanguite","Sanguite","KCuCl3","K Cu Cl"
"Sanidine","Sanidine","K(AlSi3O8)","K Al Si O"
"Sanjuanite","Sanjuanite","Al2(PO4)(SO4)(OH)·9H2O","Al P O S H"
"Sanmartinite","Sanmartinite","Zn(WO4)","Zn W O"
"Sanrománite","Sanromanite","Na2CaPb3(CO3)5","Na Ca Pb C O"
"Santabarbaraite","Santabarbaraite","Fe3+3(PO4)2(OH)3·5H2O","Fe P O H"
"Santaclaraite","Santaclaraite","CaMn2+4Si5O14(OH)2·H2O","Ca Mn Si O H"
"Santafeite","Santafeite","(Ca,Sr,Na)3(Mn2+,Fe3+)2Mn4+2(VO4)4(OH,O)5·2H2O","Ca Sr Na Mn Fe V O H"
"Santanaite","Santanaite","Pb11CrO16","Pb Cr O"
"Santarosaite","Santarosaite","CuB2O4","Cu B O"
"Santite","Santite","KB5O6(OH)4·2H2O","K B O H"
"Saponite","Saponite","(Ca,Na)0.3(Mg,Fe)3(Si,Al)4O10(OH)2·4H2O","Ca Na Mg Fe Si Al O H"
"Sapozhnikovite","Sapozhnikovite","Na8(Al6Si6O24)(HS)2","Na Al Si O H S"
"Sapphirine","Sapphirine","Mg4(Mg3Al9)O4[Si3Al9O36]","Mg Al O Si"
"Sarabauite","Sarabauite","Sb4S6·CaSb6O10","Sb S Ca O"
"Saranchinaite","Saranchinaite","Na2Cu(SO4)2","Na Cu S O"
"Saranovskite","Saranovskite","SrCaFe2+ 2(Cr4Ti2)Ti12O38","Sr Ca Fe Cr Ti O"
"Sarcolite","Sarcolite","Na4Ca12Al8Si12O46(SiO4,PO4)(OH,H2O)4(CO3,Cl)","Na Ca Al Si O P H C Cl"
"Sarcopside","Sarcopside","Fe2+3(PO4)2","Fe P O"
"Sardignaite","Sardignaite","BiMo2O7(OH)·2H2O","Bi Mo O H"
"Sarkinite","Sarkinite","Mn2+2(AsO4)(OH)","Mn As O H"
"Sarmientite","Sarmientite","Fe3+2(AsO4)(SO4)(OH)·5H2O","Fe As O S H"
"Sarrabusite","Sarrabusite","Pb5CuCl4(SeO3)4","Pb Cu Cl Se O"
"Sarrochite","Sarrochite","[Ca4(H2O)38][Mo8P2Fe3+3O37(OH)]","Ca H O Mo P Fe"
"Sartorite","Sartorite","PbAs2S4","Pb As S"
"Saryarkite-(Y)","Saryarkite-(Y)","Ca(Y,Th)Al5(SiO4)2(PO4)2(OH)7·6H2O","Ca Y Th Al Si O P H"
"Sasaite","Sasaite","Al6(PO4)5(OH)3·36H2O","Al P O H"
"Sassolite","Sassolite","B(OH)3","B O H"
"Satimolite","Satimolite","KNa2(Al5Mg2)[B12O18(OH)12](OH)6Cl4·4H2O","K Na Al Mg B O H Cl"
"Satpaevite","Satpaevite","Al12(V4+,V5+)8O37·30H2O (?)","Al V O H"
"Satterlyite","Satterlyite","(Fe2+,Mg,Fe3+)12(PO3OH)(PO4)5(OH,O)6","Fe Mg P O H"
"Sauconite","Sauconite","Na0.3Zn3(Si,Al)4O10(OH)2·4H2O","Na Zn Si Al O H"
"Savelievaite","Savelievaite","Mg2Cr3+O2(BO3)","Mg Cr O B"
"Sayrite","Sayrite","Pb2(UO2)5O6(OH)2·4H2O","Pb U O H"
"Sazhinite-(Ce)","Sazhinite-(Ce)","Na3CeSi6O15·2H2O","Na Ce Si O H"
"Sazhinite-(La)","Sazhinite-(La)","Na3LaSi6O15·2H2O","Na La Si O H"
"Sazykinaite-(Y)","Sazykinaite-(Y)","Na5YZrSi6O18·6H2O","Na Y Zr Si O H"
"Sbacchiite","Sbacchiite","Ca2AlF7","Ca Al F"
"Sborgite","Sborgite","NaB5O6(OH)4·3H2O","Na B O H"
"Scacchite","Scacchite","MnCl2","Mn Cl"
"Scainiite","Scainiite","Pb14Sb30S54O5","Pb Sb S O"
"Scandiobabingtonite","Scandiobabingtonite","(Ca,Na)2(Fe2+,Mn)(Sc,Fe3+)Si5O14(OH)","Ca Na Fe Mn Sc Si O H"
"Scandio-winchite","Scandio-winchite","[box](NaCa)(Mg4Sc)(Si8O22)(OH)2","Na Ca Mg Sc Si O H"
"Scarbroite","Scarbroite","Al5(CO3)(OH)13·5H2O","Al C O H"
"Scawtite","Scawtite","Ca7(Si3O9)2(CO3)·2H2O","Ca Si O C H"
"Scenicite","Scenicite","[(UO2)(H2O)2(SO4)]2·3H2O","U O H S"
"Schachnerite","Schachnerite","Ag1.1Hg0.9","Ag Hg"
"Schafarzikite","Schafarzikite","Fe2+(Sb3+)2O4","Fe Sb O"
"Schäferite","Schaferite","(NaCa2)Mg2(VO4)3","Na Ca Mg V O"
"Schairerite","Schairerite","Na21(SO4)7ClF6","Na S O Cl F"
"Schallerite","Schallerite","Mn2+16As3+3Si12O36(OH)17","Mn As Si O H"
"Schapbachite","Schapbachite","Ag0.4Pb0.2Bi0.4S","Ag Pb Bi S"
"Schaurteite","Schaurteite","Ca3Ge(SO4)2(OH)6·3H2O","Ca Ge S O H"
"Scheelite","Scheelite","Ca(WO4)","Ca W O"
"Schertelite","Schertelite","(NH4)2Mg(PO3OH)2·4H2O","N H Mg P O"
"Scheuchzerite","Scheuchzerite","NaMn2+9Si9V5+O28(OH)4","Na Mn Si V O H"
"Schiavinatoite","Schiavinatoite","Nb(BO4)","Nb B O"
"Schieffelinite","Schieffelinite","Pb10Te6+6O20(OH)14(SO4)(H2O)5","Pb Te O H S"
"Schindlerite","Schindlerite","{(NH4)4Na2(H2O)10}{V10O28}","N H Na O V"
"Schirmerite","Schirmerite","Ag4PbBi4S9","Ag Pb Bi S"
"Schizolite","Schizolite","NaCaMnSi3O8(OH)","Na Ca Mn Si O H"
"Schlegelite","Schlegelite","Bi7O4(MoO4)2(AsO4)3","Bi O Mo As"
"Schlemaite","Schlemaite","(Cu,[box])6(Pb,Bi)Se4","Cu Pb Bi Se"
"Schlossmacherite","Schlossmacherite","(H3O)Al3(SO4)2(OH)6","H O Al S"
"Schlüterite-(Y)","Schluterite-(Y)","(Y,REE)2AlSi2O7(OH)2F","Y REE Al Si O H F"
"Schmidite","Schmidite","Zn(Fe3+0.5Mn2+0.5)2ZnFe3+(PO4)3(OH)3(H2O)8","Zn Fe Mn P O H"
"Schmiederite","Schmiederite","Cu2Pb2(Se4+O3)(Se6+O4)(OH)4","Cu Pb Se O H"
"Schmitterite","Schmitterite","(UO2)(Te4+O3)","U O Te"
"Schneebergite","Schneebergite","BiCo2(AsO4)2(OH)·H2O","Bi Co As O H"
"Schneiderhöhnite","Schneiderhohnite","Fe2+Fe3+3As3+5O13","Fe As O"
"Schoderite","Schoderite","Al2(PO4)(VO4)·8H2O","Al P O V H"
"Schoenfliesite","Schoenfliesite","MgSn(OH)6","Mg Sn O H"
"Schoepite","Schoepite","(UO2)4O(OH)6(H2O)6","U O H"
"Schöllhornite","Schollhornite","Na0.3CrS2·H2O","Na Cr S H O"
"Scholzite","Scholzite","CaZn2(PO4)2·2H2O","Ca Zn P O H"
"Schoonerite","Schoonerite","ZnMn2+Fe2+2Fe3+(PO4)3(OH)2(H2O)7·2H2O","Zn Mn Fe P O H"
"Schorl","Schorl","NaFe2+3Al6(Si6O18)(BO3)3(OH)3(OH)","Na Fe Al Si O B H"
"Schorlomite","Schorlomite","Ca3Ti2(SiFe3+2)O12","Ca Ti Si Fe O"
"Schreibersite","Schreibersite","(Fe,Ni)3P","Fe Ni P"
"Schreyerite","Schreyerite","V3+2Ti4+3O9","V Ti O"
"Schröckingerite","Schrockingerite","NaCa3(UO2)(SO4)(CO3)3F·10H2O","Na Ca U O S C F H"
"Schubnelite","Schubnelite","Fe3+(V5+O4)·H2O","Fe V O H"
"Schuetteite","Schuetteite","Hg3O2(SO4)","Hg O S"
"Schuilingite-(Nd)","Schuilingite-(Nd)","CuPbNd(CO3)3(OH)·1.5H2O","Cu Pb Nd C O H"
"Schulenbergite","Schulenbergite","(Cu,Zn)7(SO4)2(OH)10·3H2O","Cu Zn S O H"
"Schüllerite","Schullerite","Ba2Ti2Na2Mg2(Si2O7)2O2F2","Ba Ti Na Mg Si O F"
"Schultenite","Schultenite","Pb(AsO3OH)","Pb As O H"
"Schumacherite","Schumacherite","Bi3O(VO4)2(OH)","Bi O V H"
"Schwartzembergite","Schwartzembergite","Pb2+5H2I3+O6Cl3","Pb H I O Cl"
"Schwertmannite","Schwertmannite","Fe3+16O16(OH)9.6(SO4)3.2·10H2O","Fe O H S"
"Sclarite","Sclarite","Zn7(CO3)2(OH)10","Zn C O H"
"Scolecite","Scolecite","Ca(Si3Al2)O10·3H2O","Ca Si Al O H"
"Scordariite","Scordariite","K8(Fe3+0.67[box]0.33)[Fe3+3O(SO4)6(H2O)3]2(H2O)11","K Fe O S H"
"Scorodite","Scorodite","Fe3+(AsO4)·2H2O","Fe As O H"
"Scorticoite","Scorticoite","Mn6(Sb[box])(SiO4)2O3(OH)3","Mn Sb Si O H"
"Scorzalite","Scorzalite","Fe2+Al2(PO4)2(OH)2","Fe Al P O H"
"Scotlandite","Scotlandite","Pb(S4+O3)","Pb S O"
"Scottyite","Scottyite","BaCu2Si2O7","Ba Cu Si O"
"Scrutinyite","Scrutinyite","PbO2","Pb O"
"Seaborgite","Seaborgite","LiK2Na6(UO2)(SO4)5(SO3OH)(H2O)","Li K Na U O S H"
"Seamanite","Seamanite","Mn2+3B(OH)4(PO4)(OH)2","Mn B O H P"
"Searlesite","Searlesite","NaBSi2O5(OH)2","Na B Si O H"
"Sederholmite","Sederholmite","NiSe","Ni Se"
"Sedovite","Sedovite","U4+(MoO4)2","U Mo O"
"Seeligerite","Seeligerite","Pb3(IO4)Cl3","Pb I O Cl"
"Seelite","Seelite","Mg(UO2)2(AsO3,AsO4)2·7H2O","Mg U O As H"
"Segelerite","Segelerite","CaMgFe3+(PO4)2(OH)·4H2O","Ca Mg Fe P O H"
"Segerstromite","Segerstromite","Ca3(As5+O4)2[As3+(OH)3]2","Ca As O H"
"Segnitite","Segnitite","PbFe3+3(AsO4)(AsO3OH)(OH)6","Pb Fe As O H"
"Seidite-(Ce)","Seidite-(Ce)","Na4(Ce,Sr)2TiSi8O18(O,OH,F)6·5H2O","Na Ce Sr Ti Si O H F"
"Seidozerite","Seidozerite","Na2Zr2Na2MnTi(Si2O7)2O2F2","Na Zr Mn Ti Si O F"
"Seifertite","Seifertite","SiO2","Si O"
"Seinäjokite","Seinajokite","FeSb2","Fe Sb"
"Sejkoraite-(Y)","Sejkoraite-(Y)","Y2[(UO2)8O6(SO4)4(OH)2]·26H2O","Y U O S H"
"Sekaninaite","Sekaninaite","Fe2+2Al4Si5O18","Fe Al Si O"
"Selenium","Selenium","Se","Se"
"Selenojalpaite","Selenojalpaite","Ag3CuSe2","Ag Cu Se"
"Selenolaurite","Selenolaurite","RuSe2","Ru Se"
"Selenopolybasite","Selenopolybasite","Cu(Ag,Cu)6Ag9Sb2(S,Se)9Se2","Cu Ag Sb S Se"
"Selenostephanite","Selenostephanite","Ag5SbSe4","Ag Sb Se"
"Seligmannite","Seligmannite","CuPbAsS3","Cu Pb As S"
"Selivanovaite","Selivanovaite","NaFe3+Ti4(Si2O7)2O4(H2O)4","Na Fe Ti Si O H"
"Sellaite","Sellaite","MgF2","Mg F"
"Selwynite","Selwynite","NaKBeZr2(PO4)4·2H2O","Na K Be Zr P O H"
"Semenovite-(Ce)","Semenovite-(Ce)","(Na,Ca)9Fe2+Ce2(Si,Be)20(O,OH,F)48","Na Ca Fe Ce Si Be O H F"
"Semseyite","Semseyite","Pb9Sb8S21","Pb Sb S"
"Senaite","Senaite","Pb(Mn,Y,U)(Fe,Zn)2(Ti,Fe,Cr,V)18(O,OH)38","Pb Mn Y U Fe Zn Ti Cr V O H"
"Senarmontite","Senarmontite","Sb2O3","Sb O"
"Senegalite","Senegalite","Al2(PO4)(OH)3·H2O","Al P O H"
"Sengierite","Sengierite","Cu2(UO2)2(VO4)2(OH)2·6H2O","Cu U O V H"
"Senkevichite","Senkevichite","CsNaKCa2TiOSi7O18(OH)","Cs Na K Ca Ti O Si H"
"Sepiolite","Sepiolite","Mg4Si6O15(OH)2·6H2O","Mg Si O H"
"Serandite","Serandite","NaMn2+2Si3O8(OH)","Na Mn Si O H"
"Serendibite","Serendibite","Ca4[Mg6Al6]O4[Si6B3Al3O36]","Ca Mg Al O Si B"
"Sergeevite","Sergeevite","Ca2Mg11(CO3)9(HCO3)4(OH)4·6H2O","Ca Mg C O H"
"Sergevanite","Sergevanite","Na15(Ca3Mn3)(Na2Fe)Zr3Si26O72(OH)3·H2O","Na Ca Mn Fe Zr Si O H"
"Sergeysmirnovite","Sergeysmirnovite","MgZn2(PO4)2·4H2O","Mg Zn P O H"
"Serpierite","Serpierite","Ca(Cu,Zn)4(SO4)2(OH)6·3H2O","Ca Cu Zn S O H"
"Serrabrancaite","Serrabrancaite","Mn(PO4)·H2O","Mn P O H"
"Sewardite","Sewardite","CaFe3+2(AsO4)2(OH)2","Ca Fe As O H"
"Shabaite-(Nd)","Shabaite-(Nd)","CaNd2(UO2)(CO3)4(OH)2·6H2O","Ca Nd U O C H"
"Shabynite","Shabynite","Mg5(BO3)(OH)5Cl2·4H2O","Mg B O H Cl"
"Shadlunite","Shadlunite","(Fe,Cu)8(Pb,Cd)S8","Fe Cu Pb Cd S"
"Shafranovskite","Shafranovskite","Na3K2(Mn,Fe,Na)4[Si9(O,OH)27](OH)2·nH2O","Na K Mn Fe Si O H"
"Shagamite","Shagamite","KFe11O17","K Fe O"
"Shakhdaraite-(Y)","Shakhdaraite-(Y)","ScYNb2O8","Sc Y Nb O"
"Shakhovite","Shakhovite","Hg1+4Sb5+O3(OH)3","Hg Sb O H"
"Shandite","Shandite","Ni3Pb2S2","Ni Pb S"
"Shannonite","Shannonite","Pb2O(CO3)","Pb O C"
"Sharpite","Sharpite","Ca(UO2)3(CO3)4·3H2O","Ca U O C H"
"Sharyginite","Sharyginite","Ca3TiFe2O8","Ca Ti Fe O"
"Shasuite","Shasuite","CaNi3(P2O7)2","Ca Ni P O"
"Shattuckite","Shattuckite","Cu5(SiO3)4(OH)2","Cu Si O H"
"Shcherbakovite","Shcherbakovite","K2NaTi2O(OH)Si4O12","K Na Ti O H Si"
"Shcherbinaite","Shcherbinaite","V2O5","V O"
"Shchurovskyite","Shchurovskyite","K2CaCu6O2(AsO4)4","K Ca Cu O As"
"Sheldrickite","Sheldrickite","NaCa3(CO3)2F3·H2O","Na Ca C O F H"
"Shenzhuangite","Shenzhuangite","NiFeS2","Ni Fe S"
"Sherwoodite","Sherwoodite","Ca4.5AlV4+2V5+12O40·28H2O","Ca Al V O H"
"Shibkovite","Shibkovite","K2Ca2(Zn3Si12)O30","K Ca Zn Si O"
"Shigaite","Shigaite","Mn6Al3(OH)18[Na(H2O)6](SO4)2·6H2O","Mn Al O H Na S"
"Shilovite","Shilovite","Cu(NH3)4(NO3)2","Cu N H O"
"Shimazakiite","Shimazakiite","Ca2B2O5","Ca B O"
"Shimenite","Shimenite","Tl5Sb21-yAsyS34 (9 ≤ y ≤ 10)","Tl Sb As S"
"Shinarumpite","Shinarumpite","[Co(H2O)6][(UO2)(SO4)2(H2O)]·4H2O","Co H O U S"
"Shinkolobweite","Shinkolobweite","Pb1.25[U5+(H2O)2(U6+O2)5O8(OH)2](H2O)5","Pb U H O"
"Shirokshinite","Shirokshinite","K(Mg2Na)Si4O10F2","K Mg Na Si O F"
"Shirozulite","Shirozulite","KMn2+3(Si3Al)O10(OH)2","K Mn Si Al O H"
"Shkatulkalite","Shkatulkalite","Na2Nb2Na3Ti(Si2O7)2O2(FO)(H2O)4(H2O)3","Na Nb Ti Si O F H"
"Shlykovite","Shlykovite","KCa[Si4O9(OH)]·3H2O","K Ca Si O H"
"Shomiokite-(Y)","Shomiokite-(Y)","Na3Y(CO3)3·3H2O","Na Y C O H"
"Shortite","Shortite","Na2Ca2(CO3)3","Na Ca C O"
"Shosanbetsuite","Shosanbetsuite","Ag3Sn","Ag Sn"
"Shuangfengite","Shuangfengite","IrTe2","Ir Te"
"Shubnikovite","Shubnikovite","Ca2Cu8(AsO4)6Cl(OH)·7H2O (?)","Ca Cu As O Cl H"
"Shuiskite-(Cr)","Shuiskite-(Cr)","Ca2CrCr2[SiO4][Si2O6(OH)](OH)2O","Ca Cr Si O H"
"Shuiskite-(Mg)","Shuiskite-(Mg)","Ca2MgCr2(Si2O7)(SiO4)(OH)2·H2O","Ca Mg Cr Si O H"
"Shulamitite","Shulamitite","Ca3TiFe3+AlO8","Ca Ti Fe Al O"
"Shumwayite","Shumwayite","[(UO2)(SO4)(H2O)2]2·H2O","U O S H"
"Shuvalovite","Shuvalovite","K2(Ca2Na)(SO4)3F","K Ca Na S O F"
"Sibirskite","Sibirskite","CaH(BO3)","Ca H B O"
"Sicherite","Sicherite","TlAg2(As,Sb)3S6","Tl Ag As Sb S"
"Sicklerite","Sicklerite","LiMn2+(PO4)","Li Mn P O"
"Siderazot","Siderazot","Fe3N1.33","Fe N"
"Siderite","Siderite","Fe(CO3)","Fe C O"
"Sideronatrite","Sideronatrite","Na2Fe3+(SO4)2(OH)·3H2O","Na Fe S O H"
"Siderophyllite","Siderophyllite","KFe2+2Al(Si2Al2)O10(OH)2","K Fe Al Si O H"
"Siderotil","Siderotil","Fe(SO4)·5H2O","Fe S O H"
"Sidorenkite","Sidorenkite","Na3Mn(PO4)(CO3)","Na Mn P O C"
"Sidpietersite","Sidpietersite","Pb2+4(S2O3)O2(OH)2","Pb S O H"
"Sidwillite","Sidwillite","MoO3·2H2O","Mo O H"
"Siegenite","Siegenite","CoNi2S4","Co Ni S"
"Sieleckiite","Sieleckiite","Cu3Al4(PO4)2(OH)12·2H2O","Cu Al P O H"
"Sigismundite","Sigismundite","BaFe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","Ba Fe Ca Na Al P O H"
"Sigloite","Sigloite","Fe3+Al2(PO4)2(OH)3·7H2O","Fe Al P O H"
"Siidraite","Siidraite","Pb2Cu(OH)2I3","Pb Cu O H I"
"Silesiaite","Silesiaite","Ca2Fe3+Sn(Si2O7)(Si2O6OH)","Ca Fe Sn Si O H"
"Silhydrite","Silhydrite","Si3O6·H2O","Si O H"
"Silicocarnotite","Silicocarnotite","Ca5[(PO4)(SiO4)](PO4)","Ca P O Si"
"Silicon","Silicon","Si","Si"
"Silinaite","Silinaite","NaLiSi2O5·2H2O","Na Li Si O H"
"Sillénite","Sillenite","Bi12SiO20","Bi Si O"
"Sillimanite","Sillimanite","Al2SiO5","Al Si O"
"Silver","Silver","Ag","Ag"
"Silvialite","Silvialite","Ca4Al6Si6O24(SO4)","Ca Al Si O S"
"Simferite","Simferite","Li(Mg,Fe3+,Mn3+)2(PO4)2","Li Mg Fe Mn P O"
"Simmonsite","Simmonsite","Na2LiAlF6","Na Li Al F"
"Simonellite","Simonellite","C19H24","C H"
"Simonite","Simonite","TlHgAs3S6","Tl Hg As S"
"Simonkolleite","Simonkolleite","Zn5(OH)8Cl2·H2O","Zn O H Cl"
"Simplotite","Simplotite","CaV4+4O9·5H2O","Ca V O H"
"Simpsonite","Simpsonite","Al4Ta3O13(OH)","Al Ta O H"
"Sincosite","Sincosite","Ca(VO)2(PO4)2·4H2O","Ca V O P H"
"Sinhalite","Sinhalite","MgAl(BO4)","Mg Al B O"
"Sinjarite","Sinjarite","CaCl2·2H2O","Ca Cl H O"
"Sinkankasite","Sinkankasite","Mn2+Al(PO3OH)2(OH)·6H2O","Mn Al P O H"
"Sinnerite","Sinnerite","Cu6As4S9","Cu As S"
"Sinoite","Sinoite","Si2N2O","Si N O"
"Sitinakite","Sitinakite","KNa2Ti4Si2O13(OH)·4H2O","K Na Ti Si O H"
"Siudaite","Siudaite","Na8(Mn2+2Na)Ca6Fe3+3Zr3NbSi25O74(OH)2Cl·5H2O","Na Mn Ca Fe Zr Nb Si O H Cl"
"Siwaqaite","Siwaqaite","Ca6Al2(CrO4)3(OH)12·26H2O","Ca Al Cr O H"
"Sjögrenite","Sjogrenite","Mg6Fe3+2(CO3)(OH)16·4H2O","Mg Fe C O H"
"Skaergaardite","Skaergaardite","PdCu","Pd Cu"
