"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Chemistry Elements"
"Ambrinoite","Ambrinoite","[K,(NH4)]2(As,Sb)6(Sb,As)2S13·H2O","K N H As Sb S O"
"Ameghinite","Ameghinite","NaB3O3(OH)4","Na B O H"
"Amesite","Amesite","Mg2Al(AlSiO5)(OH)4","Mg Al Si O H"
"Amgaite","Amgaite","Tl3+2Te6+O6","Tl Te O"
"Amicite","Amicite","K2Na2(Al4Si4O16)·5H2O","K Na Al Si O H"
"Aminoffite","Aminoffite","Ca3(BeOH)2Si3O10","Ca Be O H Si"
"Ammineite","Ammineite","CuCl2·2NH3","Cu Cl N H"
"Ammonioalunite","Ammonioalunite","(NH4)Al3(SO4)2(OH)6","N H Al S O"
"Ammonioborite","Ammonioborite","(NH4)3B15O20(OH)8·4H2O","N H B O"
"Ammoniojarosite","Ammoniojarosite","(NH4)Fe3+3(SO4)2(OH)6","N H Fe S O"
"Ammoniolasalite","Ammoniolasalite","[(NH4)2Mg2(H2O)20]·[V10O28]","N H Mg O V"
"Ammonioleucite","Ammonioleucite","(NH4)(AlSi2O6)","N H Al Si O"
"Ammoniomagnesiovoltaite","Ammoniomagnesiovoltaite","(NH4)2Mg5Fe3+3Al(SO4)12·18H2O","N H Mg Fe Al S O"
"Ammoniomathesiusite","Ammoniomathesiusite","(NH4)5(UO2)4(SO4)4(VO5)·4H2O","N H U O S V"
"Ammoniotinsleyite","Ammoniotinsleyite","(NH4)Al2(PO4)2(OH)·2H2O","N H Al P O"
"Ammoniovoltaite","Ammoniovoltaite","(NH4)2Fe2+5Fe3+3Al(SO4)12(H2O)18","N H Fe Al S O"
"Ammoniozippeite","Ammoniozippeite","(NH4)2[(UO2)2(SO4)O2]·H2O","N H U O S"
"Amstallite","Amstallite","CaAl[(Al,Si)4O8(OH)2](OH)2·(H2O,Cl)","Ca Al Si O H Cl"
"Analcime","Analcime","Na(AlSi2O6)·H2O","Na Al Si O H"
"Anandite","Anandite","BaFe2+3(Si3Fe3+)O10S(OH)","Ba Fe Si O S H"
"Anapaite","Anapaite","Ca2Fe2+(PO4)2·4H2O","Ca Fe P O H"
"Anastasenkoite","Anastasenkoite","CaFe2+P2O7","Ca Fe P O"
"Anatacamite","Anatacamite","Cu2Cl(OH)3","Cu Cl O H"
"Anatase","Anatase","TiO2","Ti O"
"Anatolyite","Anatolyite","Na6(Ca,Na)(Mg,Fe3+)3Al(AsO4)6","Na Ca Mg Fe Al As O"
"Ancylite-(Ce)","Ancylite-(Ce)","CeSr(CO3)2(OH)·H2O","Ce Sr C O H"
"Ancylite-(La)","Ancylite-(La)","LaSr(CO3)2(OH)·H2O","La Sr C O H"
"Andalusite","Andalusite","Al2SiO5","Al Si O"
"Andersonite","Andersonite","Na2Ca(UO2)(CO3)3·5-6H2O","Na Ca U O C H"
"Andesine","Andesine","(Na,Ca)(Si,Al)4O8","Na Ca Si Al O"
"Andorite IV","Andorite IV","AgPbSb3S6","Ag Pb Sb S"
"Andorite VI","Andorite VI","AgPbSb3S6","Ag Pb Sb S"
"Andradite","Andradite","Ca3Fe3+2(SiO4)3","Ca Fe Si O"
"Andreadiniite","Andreadiniite","CuHgAg7Pb7Sb24S48","Cu Hg Ag Pb Sb S"
"Andrémeyerite","Andremeyerite","BaFe2+2(Si2O7)","Ba Fe Si O"
"Andreyivanovite","Andreyivanovite","FeCrP","Fe Cr P"
