Mineral Name,Mineral Name (plain),IMA Chemistry (concise),Chemistry Elements,URL
Ruizite,Ruizite,Ca_2_Mn^3+^_2_Si_4_O_11_(OH)_4_·2H_2_O,Ca Mn Si O H,https://www.mindat.org/search.php?search=Ruizite
Rumoiite,Rumoiite,AuSn_2_,Au Sn,https://www.mindat.org/search.php?search=Rumoiite
Rumseyite,Rumseyite,[Pb_2_OF]Cl,Pb O F Cl,https://www.mindat.org/search.php?search=Rumseyite
Rusakovite,Rusakovite,"(Fe,Al)_5_(VO_4_)_2_(OH)_9_·3H_2_O",Fe Al V O H,https://www.mindat.org/search.php?search=Rusakovite
Rusinovite,Rusinovite,Ca_10_(Si_2_O_7_)_3_Cl_2_,Ca Si O Cl,https://www.mindat.org/search.php?search=Rusinovite
Russellite,Russellite,Bi_2_WO_6_,Bi W O,https://www.mindat.org/search.php?search=Russellite
Russoite,Russoite,(NH_4_)ClAs_2_O_3_(H_2_O)_0.5_,N H Cl As O,https://www.mindat.org/search.php?search=Russoite
Rustenburgite,Rustenburgite,Pt_3_Sn,Pt Sn,https://www.mindat.org/search.php?search=Rustenburgite
Rustumite,Rustumite,Ca_10_(Si_2_O_7_)_2_(SiO_4_)(OH)_2_Cl_2_,Ca Si O H Cl,https://www.mindat.org/search.php?search=Rustumite
Ruthenarsenite,Ruthenarsenite,"(Ru,Ni)As",Ru Ni As,https://www.mindat.org/search.php?search=Ruthenarsenite
Rutheniridosmine,Rutheniridosmine,"(Ir,Os,Ru)",Ir Os Ru,https://www.mindat.org/search.php?search=Rutheniridosmine
Ruthenium,Ruthenium,Ru,Ru,https://www.mindat.org/search.php?search=Ruthenium
Rutherfordine,Rutherfordine,(UO_2_)(CO_3_),U O C,https://www.mindat.org/search.php?search=Rutherfordine
Rutile,Rutile,TiO_2_,Ti O,https://www.mindat.org/search.php?search=Rutile
Ryabchikovite,Ryabchikovite,CuMgSi_2_O_6_,Cu Mg Si O,https://www.mindat.org/search.php?search=Ryabchikovite
Rynersonite,Rynersonite,CaTa_2_O_6_,Ca Ta O,https://www.mindat.org/search.php?search=Rynersonite
Saamite,Saamite,Ba[box]TiNbNa_3_Ti(Si_2_O_7_)_2_O_2_(OH)_2_(H_2_O)_2_,Ba Ti Nb Na Si O H,https://www.mindat.org/search.php?search=Saamite
Sabatierite,Sabatierite,Cu_6_TlSe_4_,Cu Tl Se,https://www.mindat.org/search.php?search=Sabatierite
Sabelliite,Sabelliite,Cu_2_Zn(AsO_4_)(OH)_3_,Cu Zn As O H,https://www.mindat.org/search.php?search=Sabelliite
Sabieite,Sabieite,(NH_4_)Fe^3+^(SO_4_)_2_,N H Fe S O,https://www.mindat.org/search.php?search=Sabieite
Sabinaite,Sabinaite,Na_4_TiZr_2_O_4_(CO_3_)_4_,Na Ti Zr O C,https://www.mindat.org/search.php?search=Sabinaite
Sabugalite,Sabugalite,HAl(UO_2_)_4_(PO_4_)_4_·16H_2_O,H Al U O P,https://www.mindat.org/search.php?search=Sabugalite
Saccoite,Saccoite,Ca_2_Mn^3+^_2_F(OH)_8_·0.5(SO_4_),Ca Mn F O H S,https://www.mindat.org/search.php?search=Saccoite
Sacrofanite,Sacrofanite,(Na_61_K_19_Ca_32_)_Σ=112_(Si_84_Al_84_O_336_)(SO_4_)_26_Cl_2_F_6_·2H_2_O,Na K Ca Si Al O S Cl F H,https://www.mindat.org/search.php?search=Sacrofanite
Sadanagaite,Sadanagaite,NaCa_2_(Mg_3_Al_2_)(Si_5_Al_3_)O_22_(OH)_2_,Na Ca Mg Al Si O H,https://www.mindat.org/search.php?search=Sadanagaite
Saddlebackite,Saddlebackite,Pb_2_Bi_2_Te_2_S_3_,Pb Bi Te S,https://www.mindat.org/search.php?search=Saddlebackite
Safflorite,Safflorite,CoAs_2_,Co As,https://www.mindat.org/search.php?search=Safflorite
Sahamalite-(Ce),Sahamalite-(Ce),Ce_2_Mg(CO_3_)_4_,Ce Mg C O,https://www.mindat.org/search.php?search=Sahamalite-(Ce)
Sahlinite,Sahlinite,Pb_14_O_9_(AsO_4_)_2_Cl_4_,Pb O As Cl,https://www.mindat.org/search.php?search=Sahlinite
Sailaufite,Sailaufite,"(Ca,Na,[box])_2_Mn^3+^_3_O_2_(AsO_4_)_2_(CO_3_)·3H_2_O",Ca Na Mn O As C H,https://www.mindat.org/search.php?search=Sailaufite
Sainfeldite,Sainfeldite,Ca_5_(AsO_4_)_2_(AsO_3_OH)_2_·4H_2_O,Ca As O H,https://www.mindat.org/search.php?search=Sainfeldite
Sakhaite,Sakhaite,"Ca_48_Mg_16_(BO_3_)_32_(CO_3_)_16_·2(H_2_O,HCl)",Ca Mg B O C H Cl,https://www.mindat.org/search.php?search=Sakhaite
Sakuraiite,Sakuraiite,"(Cu,Zn,Fe)_3_(In,Sn)S_4_",Cu Zn Fe In Sn S,https://www.mindat.org/search.php?search=Sakuraiite
Salammoniac,Salammoniac,(NH_4_)Cl,N H Cl,https://www.mindat.org/search.php?search=Salammoniac
Saléeite,Saleeite,Mg(UO_2_)_2_(PO_4_)_2_(H_2_O)_10_,Mg U O P H,https://www.mindat.org/search.php?search=Saleeite
Salesite,Salesite,Cu(IO_3_)(OH),Cu I O H,https://www.mindat.org/search.php?search=Salesite
Saliotite,Saliotite,"(Li,Na)Al_3_(Si_3_Al)O_10_(OH)_5_",Li Na Al Si O H,https://www.mindat.org/search.php?search=Saliotite
Saltonseaite,Saltonseaite,K_3_NaMnCl_6_,K Na Mn Cl,https://www.mindat.org/search.php?search=Saltonseaite
Salzburgite,Salzburgite,Cu_1.6_Pb_1.6_Bi_6.4_S_12_,Cu Pb Bi S,https://www.mindat.org/search.php?search=Salzburgite
Samaniite,Samaniite,Cu_2_Fe_5_Ni_2_S_8_,Cu Fe Ni S,https://www.mindat.org/search.php?search=Samaniite
Samarskite-(Y),Samarskite-(Y),YFe^3+^Nb_2_O_8_,Y Fe Nb O,https://www.mindat.org/search.php?search=Samarskite-(Y)
Samarskite-(Yb),Samarskite-(Yb),YbNbO_4_,Yb Nb O,https://www.mindat.org/search.php?search=Samarskite-(Yb)
Samfowlerite,Samfowlerite,Ca_14_Mn^2+^_3_Zn_2_Be_2_Be_6_Si_14_O_52_(OH)_6_,Ca Mn Zn Be Si O H,https://www.mindat.org/search.php?search=Samfowlerite
Sampleite,Sampleite,NaCaCu_5_(PO_4_)_4_Cl·5H_2_O,Na Ca Cu P O Cl H,https://www.mindat.org/search.php?search=Sampleite
Samraite,Samraite,Ni_2_P_2_O_7_,Ni P O,https://www.mindat.org/search.php?search=Samraite
Samsonite,Samsonite,Ag_4_MnSb_2_S_6_,Ag Mn Sb S,https://www.mindat.org/search.php?search=Samsonite
Samuelsonite,Samuelsonite,Ca_9_Mn^2+^_4_Al_2_(PO_4_)_10_(OH)_2_,Ca Mn Al P O H,https://www.mindat.org/search.php?search=Samuelsonite
Sanbornite,Sanbornite,BaSi_2_O_5_,Ba Si O,https://www.mindat.org/search.php?search=Sanbornite
Sanderite,Sanderite,Mg(SO_4_)·2H_2_O,Mg S O H,https://www.mindat.org/search.php?search=Sanderite
Saneroite,Saneroite,NaMn^2+^_5_[Si_5_O_14_(OH)](VO_3_)(OH),Na Mn Si O H V,https://www.mindat.org/search.php?search=Saneroite
Sangenaroite,Sangenaroite,Ag_8_(Sb_8-x_As_x_)S_16_ (0 < x < 2),Ag Sb As S,https://www.mindat.org/search.php?search=Sangenaroite
Sanguite,Sanguite,KCuCl_3_,K Cu Cl,https://www.mindat.org/search.php?search=Sanguite
Sanidine,Sanidine,K(AlSi_3_O_8_),K Al Si O,https://www.mindat.org/search.php?search=Sanidine
Sanjuanite,Sanjuanite,Al_2_(PO_4_)(SO_4_)(OH)·9H_2_O,Al P O S H,https://www.mindat.org/search.php?search=Sanjuanite
Sanmartinite,Sanmartinite,Zn(WO_4_),Zn W O,https://www.mindat.org/search.php?search=Sanmartinite
Sanrománite,Sanromanite,Na_2_CaPb_3_(CO_3_)_5_,Na Ca Pb C O,https://www.mindat.org/search.php?search=Sanromanite
Santabarbaraite,Santabarbaraite,Fe^3+^_3_(PO_4_)_2_(OH)_3_·5H_2_O,Fe P O H,https://www.mindat.org/search.php?search=Santabarbaraite
Santaclaraite,Santaclaraite,CaMn^2+^_4_Si_5_O_14_(OH)_2_·H_2_O,Ca Mn Si O H,https://www.mindat.org/search.php?search=Santaclaraite
Santafeite,Santafeite,"(Ca,Sr,Na)_3_(Mn^2+^,Fe^3+^)_2_Mn^4+^_2_(VO_4_)_4_(OH,O)_5_·2H_2_O",Ca Sr Na Mn Fe V O H,https://www.mindat.org/search.php?search=Santafeite
Santanaite,Santanaite,Pb_11_CrO_16_,Pb Cr O,https://www.mindat.org/search.php?search=Santanaite
Santarosaite,Santarosaite,CuB_2_O_4_,Cu B O,https://www.mindat.org/search.php?search=Santarosaite
Santite,Santite,KB_5_O_6_(OH)_4_·2H_2_O,K B O H,https://www.mindat.org/search.php?search=Santite
Saponite,Saponite,"(Ca,Na)_0.3_(Mg,Fe)_3_(Si,Al)_4_O_10_(OH)_2_·4H_2_O",Ca Na Mg Fe Si Al O H,https://www.mindat.org/search.php?search=Saponite
Sapozhnikovite,Sapozhnikovite,Na_8_(Al_6_Si_6_O_24_)(HS)_2_,Na Al Si O H S,https://www.mindat.org/search.php?search=Sapozhnikovite
Sapphirine,Sapphirine,Mg_4_(Mg_3_Al_9_)O_4_[Si_3_Al_9_O_36_],Mg Al O Si,https://www.mindat.org/search.php?search=Sapphirine
Sarabauite,Sarabauite,Sb_4_S_6_·CaSb_6_O_10_,Sb S Ca O,https://www.mindat.org/search.php?search=Sarabauite
Saranchinaite,Saranchinaite,Na_2_Cu(SO_4_)_2_,Na Cu S O,https://www.mindat.org/search.php?search=Saranchinaite
Saranovskite,Saranovskite,SrCaFe^2+^_ 2_(Cr_4_Ti_2_)Ti_12_O_38_,Sr Ca Fe Cr Ti O,https://www.mindat.org/search.php?search=Saranovskite
Sarcolite,Sarcolite,"Na_4_Ca_12_Al_8_Si_12_O_46_(SiO_4_,PO_4_)(OH,H_2_O)_4_(CO_3_,Cl)",Na Ca Al Si O P H C Cl,https://www.mindat.org/search.php?search=Sarcolite
Sarcopside,Sarcopside,Fe^2+^_3_(PO_4_)_2_,Fe P O,https://www.mindat.org/search.php?search=Sarcopside
Sardignaite,Sardignaite,BiMo_2_O_7_(OH)·2H_2_O,Bi Mo O H,https://www.mindat.org/search.php?search=Sardignaite
Sarkinite,Sarkinite,Mn^2+^_2_(AsO_4_)(OH),Mn As O H,https://www.mindat.org/search.php?search=Sarkinite
Sarmientite,Sarmientite,Fe^3+^_2_(AsO_4_)(SO_4_)(OH)·5H_2_O,Fe As O S H,https://www.mindat.org/search.php?search=Sarmientite
Sarrabusite,Sarrabusite,Pb_5_CuCl_4_(SeO_3_)_4_,Pb Cu Cl Se O,https://www.mindat.org/search.php?search=Sarrabusite
Sarrochite,Sarrochite,[Ca_4_(H_2_O)_38_][Mo_8_P_2_Fe^3+^_3_O_37_(OH)],Ca H O Mo P Fe,https://www.mindat.org/search.php?search=Sarrochite
Sartorite,Sartorite,PbAs_2_S_4_,Pb As S,https://www.mindat.org/search.php?search=Sartorite
Saryarkite-(Y),Saryarkite-(Y),"Ca(Y,Th)Al_5_(SiO_4_)_2_(PO_4_)_2_(OH)_7_·6H_2_O",Ca Y Th Al Si O P H,https://www.mindat.org/search.php?search=Saryarkite-(Y)
Sasaite,Sasaite,Al_6_(PO_4_)_5_(OH)_3_·36H_2_O,Al P O H,https://www.mindat.org/search.php?search=Sasaite
Sassolite,Sassolite,B(OH)_3_,B O H,https://www.mindat.org/search.php?search=Sassolite
Satimolite,Satimolite,KNa_2_(Al_5_Mg_2_)[B_12_O_18_(OH)_12_](OH)_6_Cl_4_·4H_2_O,K Na Al Mg B O H Cl,https://www.mindat.org/search.php?search=Satimolite
Satpaevite,Satpaevite,"Al_12_(V^4+^,V^5+^)_8_O_37_·30H_2_O (?)",Al V O H,https://www.mindat.org/search.php?search=Satpaevite
Satterlyite,Satterlyite,"(Fe^2+^,Mg,Fe^3+^)_12_(PO_3_OH)(PO_4_)_5_(OH,O)_6_",Fe Mg P O H,https://www.mindat.org/search.php?search=Satterlyite
Sauconite,Sauconite,"Na_0.3_Zn_3_(Si,Al)_4_O_10_(OH)_2_·4H_2_O",Na Zn Si Al O H,https://www.mindat.org/search.php?search=Sauconite
Savelievaite,Savelievaite,Mg_2_Cr^3+^O_2_(BO_3_),Mg Cr O B,https://www.mindat.org/search.php?search=Savelievaite
Sayrite,Sayrite,Pb_2_(UO_2_)_5_O_6_(OH)_2_·4H_2_O,Pb U O H,https://www.mindat.org/search.php?search=Sayrite
Sazhinite-(Ce),Sazhinite-(Ce),Na_3_CeSi_6_O_15_·2H_2_O,Na Ce Si O H,https://www.mindat.org/search.php?search=Sazhinite-(Ce)
Sazhinite-(La),Sazhinite-(La),Na_3_LaSi_6_O_15_·2H_2_O,Na La Si O H,https://www.mindat.org/search.php?search=Sazhinite-(La)
Sazykinaite-(Y),Sazykinaite-(Y),Na_5_YZrSi_6_O_18_·6H_2_O,Na Y Zr Si O H,https://www.mindat.org/search.php?search=Sazykinaite-(Y)
Sbacchiite,Sbacchiite,Ca_2_AlF_7_,Ca Al F,https://www.mindat.org/search.php?search=Sbacchiite
Sborgite,Sborgite,NaB_5_O_6_(OH)_4_·3H_2_O,Na B O H,https://www.mindat.org/search.php?search=Sborgite
Scacchite,Scacchite,MnCl_2_,Mn Cl,https://www.mindat.org/search.php?search=Scacchite
Scainiite,Scainiite,Pb_14_Sb_30_S_54_O_5_,Pb Sb S O,https://www.mindat.org/search.php?search=Scainiite
Scandiobabingtonite,Scandiobabingtonite,"(Ca,Na)_2_(Fe^2+^,Mn)(Sc,Fe^3+^)Si_5_O_14_(OH)",Ca Na Fe Mn Sc Si O H,https://www.mindat.org/search.php?search=Scandiobabingtonite
Scandio-winchite,Scandio-winchite,[box](NaCa)(Mg_4_Sc)(Si_8_O_22_)(OH)_2_,Na Ca Mg Sc Si O H,https://www.mindat.org/search.php?search=Scandio-winchite
Scarbroite,Scarbroite,Al_5_(CO_3_)(OH)_13_·5H_2_O,Al C O H,https://www.mindat.org/search.php?search=Scarbroite
Scawtite,Scawtite,Ca_7_(Si_3_O_9_)_2_(CO_3_)·2H_2_O,Ca Si O C H,https://www.mindat.org/search.php?search=Scawtite
Scenicite,Scenicite,[(UO_2_)(H_2_O)_2_(SO_4_)]_2_·3H_2_O,U O H S,https://www.mindat.org/search.php?search=Scenicite
Schachnerite,Schachnerite,Ag_1.1_Hg_0.9_,Ag Hg,https://www.mindat.org/search.php?search=Schachnerite
Schafarzikite,Schafarzikite,Fe^2+^(Sb^3+^)_2_O_4_,Fe Sb O,https://www.mindat.org/search.php?search=Schafarzikite
Schäferite,Schaferite,(NaCa_2_)Mg_2_(VO_4_)_3_,Na Ca Mg V O,https://www.mindat.org/search.php?search=Schaferite
Schairerite,Schairerite,Na_21_(SO_4_)_7_ClF_6_,Na S O Cl F,https://www.mindat.org/search.php?search=Schairerite
Schallerite,Schallerite,Mn^2+^_16_As^3+^_3_Si_12_O_36_(OH)_17_,Mn As Si O H,https://www.mindat.org/search.php?search=Schallerite
Schapbachite,Schapbachite,Ag_0.4_Pb_0.2_Bi_0.4_S,Ag Pb Bi S,https://www.mindat.org/search.php?search=Schapbachite
Schaurteite,Schaurteite,Ca_3_Ge(SO_4_)_2_(OH)_6_·3H_2_O,Ca Ge S O H,https://www.mindat.org/search.php?search=Schaurteite
Scheelite,Scheelite,Ca(WO_4_),Ca W O,https://www.mindat.org/search.php?search=Scheelite
Schertelite,Schertelite,(NH_4_)_2_Mg(PO_3_OH)_2_·4H_2_O,N H Mg P O,https://www.mindat.org/search.php?search=Schertelite
Scheuchzerite,Scheuchzerite,NaMn^2+^_9_Si_9_V^5+^O_28_(OH)_4_,Na Mn Si V O H,https://www.mindat.org/search.php?search=Scheuchzerite
Schiavinatoite,Schiavinatoite,Nb(BO_4_),Nb B O,https://www.mindat.org/search.php?search=Schiavinatoite
Schieffelinite,Schieffelinite,Pb_10_Te^6+^_6_O_20_(OH)_14_(SO_4_)(H_2_O)_5_,Pb Te O H S,https://www.mindat.org/search.php?search=Schieffelinite
Schindlerite,Schindlerite,{(NH_4_)_4_Na_2_(H_2_O)_10_}{V_10_O_28_},N H Na O V,https://www.mindat.org/search.php?search=Schindlerite
Schizolite,Schizolite,NaCaMnSi_3_O_8_(OH),Na Ca Mn Si O H,https://www.mindat.org/search.php?search=Schizolite
Schlegelite,Schlegelite,Bi_7_O_4_(MoO_4_)_2_(AsO_4_)_3_,Bi O Mo As,https://www.mindat.org/search.php?search=Schlegelite
Schlemaite,Schlemaite,"(Cu,[box])_6_(Pb,Bi)Se_4_",Cu Pb Bi Se,https://www.mindat.org/search.php?search=Schlemaite
Schlossmacherite,Schlossmacherite,(H_3_O)Al_3_(SO_4_)_2_(OH)_6_,H O Al S,https://www.mindat.org/search.php?search=Schlossmacherite
Schlüterite-(Y),Schluterite-(Y),"(Y,REE)_2_AlSi_2_O_7_(OH)_2_F",Y REE Al Si O H F,https://www.mindat.org/search.php?search=Schluterite-(Y)
Schmidite,Schmidite,Zn(Fe^3+^_0.5_Mn^2+^_0.5_)_2_ZnFe^3+^(PO_4_)_3_(OH)_3_(H_2_O)_8_,Zn Fe Mn P O H,https://www.mindat.org/search.php?search=Schmidite
Schmiederite,Schmiederite,Cu_2_Pb_2_(Se^4+^O_3_)(Se^6+^O_4_)(OH)_4_,Cu Pb Se O H,https://www.mindat.org/search.php?search=Schmiederite
Schmitterite,Schmitterite,(UO_2_)(Te^4+^O_3_),U O Te,https://www.mindat.org/search.php?search=Schmitterite
Schneebergite,Schneebergite,BiCo_2_(AsO_4_)_2_(OH)·H_2_O,Bi Co As O H,https://www.mindat.org/search.php?search=Schneebergite
Schneiderhöhnite,Schneiderhohnite,Fe^2+^Fe^3+^_3_As^3+^_5_O_13_,Fe As O,https://www.mindat.org/search.php?search=Schneiderhohnite
Schoderite,Schoderite,Al_2_(PO_4_)(VO_4_)·8H_2_O,Al P O V H,https://www.mindat.org/search.php?search=Schoderite
Schoenfliesite,Schoenfliesite,MgSn(OH)_6_,Mg Sn O H,https://www.mindat.org/search.php?search=Schoenfliesite
Schoepite,Schoepite,(UO_2_)_4_O(OH)_6_(H_2_O)_6_,U O H,https://www.mindat.org/search.php?search=Schoepite
Schöllhornite,Schollhornite,Na_0.3_CrS_2_·H_2_O,Na Cr S H O,https://www.mindat.org/search.php?search=Schollhornite
Scholzite,Scholzite,CaZn_2_(PO_4_)_2_·2H_2_O,Ca Zn P O H,https://www.mindat.org/search.php?search=Scholzite
Schoonerite,Schoonerite,ZnMn^2+^Fe^2+^_2_Fe^3+^(PO_4_)_3_(OH)_2_(H_2_O)_7_·2H_2_O,Zn Mn Fe P O H,https://www.mindat.org/search.php?search=Schoonerite
Schorl,Schorl,NaFe^2+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_(OH),Na Fe Al Si O B H,https://www.mindat.org/search.php?search=Schorl
Schorlomite,Schorlomite,Ca_3_Ti_2_(SiFe^3+^_2_)O_12_,Ca Ti Si Fe O,https://www.mindat.org/search.php?search=Schorlomite
Schreibersite,Schreibersite,"(Fe,Ni)_3_P",Fe Ni P,https://www.mindat.org/search.php?search=Schreibersite
Schreyerite,Schreyerite,V^3+^_2_Ti^4+^_3_O_9_,V Ti O,https://www.mindat.org/search.php?search=Schreyerite
Schröckingerite,Schrockingerite,NaCa_3_(UO_2_)(SO_4_)(CO_3_)_3_F·10H_2_O,Na Ca U O S C F H,https://www.mindat.org/search.php?search=Schrockingerite
Schubnelite,Schubnelite,Fe^3+^(V^5+^O_4_)·H_2_O,Fe V O H,https://www.mindat.org/search.php?search=Schubnelite
Schuetteite,Schuetteite,Hg_3_O_2_(SO_4_),Hg O S,https://www.mindat.org/search.php?search=Schuetteite
Schuilingite-(Nd),Schuilingite-(Nd),CuPbNd(CO_3_)_3_(OH)·1.5H_2_O,Cu Pb Nd C O H,https://www.mindat.org/search.php?search=Schuilingite-(Nd)
Schulenbergite,Schulenbergite,"(Cu,Zn)_7_(SO_4_)_2_(OH)_10_·3H_2_O",Cu Zn S O H,https://www.mindat.org/search.php?search=Schulenbergite
Schüllerite,Schullerite,Ba_2_Ti_2_Na_2_Mg_2_(Si_2_O_7_)_2_O_2_F_2_,Ba Ti Na Mg Si O F,https://www.mindat.org/search.php?search=Schullerite
Schultenite,Schultenite,Pb(AsO_3_OH),Pb As O H,https://www.mindat.org/search.php?search=Schultenite
Schumacherite,Schumacherite,Bi_3_O(VO_4_)_2_(OH),Bi O V H,https://www.mindat.org/search.php?search=Schumacherite
Schwartzembergite,Schwartzembergite,Pb^2+^_5_H_2_I^3+^O_6_Cl_3_,Pb H I O Cl,https://www.mindat.org/search.php?search=Schwartzembergite
Schwertmannite,Schwertmannite,Fe^3+^_16_O_16_(OH)_9.6_(SO_4_)_3.2_·10H_2_O,Fe O H S,https://www.mindat.org/search.php?search=Schwertmannite
Sclarite,Sclarite,Zn_7_(CO_3_)_2_(OH)_10_,Zn C O H,https://www.mindat.org/search.php?search=Sclarite
Scolecite,Scolecite,Ca(Si_3_Al_2_)O_10_·3H_2_O,Ca Si Al O H,https://www.mindat.org/search.php?search=Scolecite
Scordariite,Scordariite,K_8_(Fe^3+^_0.67_[box]_0.33_)[Fe^3+^_3_O(SO_4_)_6_(H_2_O)_3_]_2_(H_2_O)_11_,K Fe O S H,https://www.mindat.org/search.php?search=Scordariite
Scorodite,Scorodite,Fe^3+^(AsO_4_)·2H_2_O,Fe As O H,https://www.mindat.org/search.php?search=Scorodite
Scorticoite,Scorticoite,Mn_6_(Sb[box])(SiO_4_)_2_O_3_(OH)_3_,Mn Sb Si O H,https://www.mindat.org/search.php?search=Scorticoite
Scorzalite,Scorzalite,Fe^2+^Al_2_(PO_4_)_2_(OH)_2_,Fe Al P O H,https://www.mindat.org/search.php?search=Scorzalite
Scotlandite,Scotlandite,Pb(S^4+^O_3_),Pb S O,https://www.mindat.org/search.php?search=Scotlandite
Scottyite,Scottyite,BaCu_2_Si_2_O_7_,Ba Cu Si O,https://www.mindat.org/search.php?search=Scottyite
Scrutinyite,Scrutinyite,PbO_2_,Pb O,https://www.mindat.org/search.php?search=Scrutinyite
Seaborgite,Seaborgite,LiK_2_Na_6_(UO_2_)(SO_4_)_5_(SO_3_OH)(H_2_O),Li K Na U O S H,https://www.mindat.org/search.php?search=Seaborgite
Seamanite,Seamanite,Mn^2+^_3_B(OH)_4_(PO_4_)(OH)_2_,Mn B O H P,https://www.mindat.org/search.php?search=Seamanite
Searlesite,Searlesite,NaBSi_2_O_5_(OH)_2_,Na B Si O H,https://www.mindat.org/search.php?search=Searlesite
Sederholmite,Sederholmite,NiSe,Ni Se,https://www.mindat.org/search.php?search=Sederholmite
Sedovite,Sedovite,U^4+^(MoO_4_)_2_,U Mo O,https://www.mindat.org/search.php?search=Sedovite
Seeligerite,Seeligerite,Pb_3_(IO_4_)Cl_3_,Pb I O Cl,https://www.mindat.org/search.php?search=Seeligerite
Seelite,Seelite,"Mg(UO_2_)_2_(AsO_3_,AsO_4_)_2_·7H_2_O",Mg U O As H,https://www.mindat.org/search.php?search=Seelite
Segelerite,Segelerite,CaMgFe^3+^(PO_4_)_2_(OH)·4H_2_O,Ca Mg Fe P O H,https://www.mindat.org/search.php?search=Segelerite
Segerstromite,Segerstromite,Ca_3_(As^5+^O_4_)_2_[As^3+^(OH)_3_]_2_,Ca As O H,https://www.mindat.org/search.php?search=Segerstromite
Segnitite,Segnitite,PbFe^3+^_3_(AsO_4_)(AsO_3_OH)(OH)_6_,Pb Fe As O H,https://www.mindat.org/search.php?search=Segnitite
Seidite-(Ce),Seidite-(Ce),"Na_4_(Ce,Sr)_2_TiSi_8_O_18_(O,OH,F)_6_·5H_2_O",Na Ce Sr Ti Si O H F,https://www.mindat.org/search.php?search=Seidite-(Ce)
Seidozerite,Seidozerite,Na_2_Zr_2_Na_2_MnTi(Si_2_O_7_)_2_O_2_F_2_,Na Zr Mn Ti Si O F,https://www.mindat.org/search.php?search=Seidozerite
Seifertite,Seifertite,SiO_2_,Si O,https://www.mindat.org/search.php?search=Seifertite
Seinäjokite,Seinajokite,FeSb_2_,Fe Sb,https://www.mindat.org/search.php?search=Seinajokite
Sejkoraite-(Y),Sejkoraite-(Y),Y_2_[(UO_2_)_8_O_6_(SO_4_)_4_(OH)_2_]·26H_2_O,Y U O S H,https://www.mindat.org/search.php?search=Sejkoraite-(Y)
Sekaninaite,Sekaninaite,Fe^2+^_2_Al_4_Si_5_O_18_,Fe Al Si O,https://www.mindat.org/search.php?search=Sekaninaite
Selenium,Selenium,Se,Se,https://www.mindat.org/search.php?search=Selenium
Selenojalpaite,Selenojalpaite,Ag_3_CuSe_2_,Ag Cu Se,https://www.mindat.org/search.php?search=Selenojalpaite
Selenolaurite,Selenolaurite,RuSe_2_,Ru Se,https://www.mindat.org/search.php?search=Selenolaurite
Selenopolybasite,Selenopolybasite,"Cu(Ag,Cu)_6_Ag_9_Sb_2_(S,Se)_9_Se_2_",Cu Ag Sb S Se,https://www.mindat.org/search.php?search=Selenopolybasite
Selenostephanite,Selenostephanite,Ag_5_SbSe_4_,Ag Sb Se,https://www.mindat.org/search.php?search=Selenostephanite
Seligmannite,Seligmannite,CuPbAsS_3_,Cu Pb As S,https://www.mindat.org/search.php?search=Seligmannite
Selivanovaite,Selivanovaite,NaFe^3+^Ti_4_(Si_2_O_7_)_2_O_4_(H_2_O)_4_,Na Fe Ti Si O H,https://www.mindat.org/search.php?search=Selivanovaite
Sellaite,Sellaite,MgF_2_,Mg F,https://www.mindat.org/search.php?search=Sellaite
Selwynite,Selwynite,NaKBeZr_2_(PO_4_)_4_·2H_2_O,Na K Be Zr P O H,https://www.mindat.org/search.php?search=Selwynite
Semenovite-(Ce),Semenovite-(Ce),"(Na,Ca)_9_Fe^2+^Ce_2_(Si,Be)_20_(O,OH,F)_48_",Na Ca Fe Ce Si Be O H F,https://www.mindat.org/search.php?search=Semenovite-(Ce)
Semseyite,Semseyite,Pb_9_Sb_8_S_21_,Pb Sb S,https://www.mindat.org/search.php?search=Semseyite
Senaite,Senaite,"Pb(Mn,Y,U)(Fe,Zn)_2_(Ti,Fe,Cr,V)_18_(O,OH)_38_",Pb Mn Y U Fe Zn Ti Cr V O H,https://www.mindat.org/search.php?search=Senaite
Senarmontite,Senarmontite,Sb_2_O_3_,Sb O,https://www.mindat.org/search.php?search=Senarmontite
Senegalite,Senegalite,Al_2_(PO_4_)(OH)_3_·H_2_O,Al P O H,https://www.mindat.org/search.php?search=Senegalite
Sengierite,Sengierite,Cu_2_(UO_2_)_2_(VO_4_)_2_(OH)_2_·6H_2_O,Cu U O V H,https://www.mindat.org/search.php?search=Sengierite
Senkevichite,Senkevichite,CsNaKCa_2_TiOSi_7_O_18_(OH),Cs Na K Ca Ti O Si H,https://www.mindat.org/search.php?search=Senkevichite
Sepiolite,Sepiolite,Mg_4_Si_6_O_15_(OH)_2_·6H_2_O,Mg Si O H,https://www.mindat.org/search.php?search=Sepiolite
Serandite,Serandite,NaMn^2+^_2_Si_3_O_8_(OH),Na Mn Si O H,https://www.mindat.org/search.php?search=Serandite
Serendibite,Serendibite,Ca_4_[Mg_6_Al_6_]O_4_[Si_6_B_3_Al_3_O_36_],Ca Mg Al O Si B,https://www.mindat.org/search.php?search=Serendibite
Sergeevite,Sergeevite,Ca_2_Mg_11_(CO_3_)_9_(HCO_3_)_4_(OH)_4_·6H_2_O,Ca Mg C O H,https://www.mindat.org/search.php?search=Sergeevite
