Mineral Name,Mineral Name (plain),IMA Chemistry (concise),Chemistry Elements,URL
Magnesiohatertite,Magnesiohatertite,NaNaCa(MgFe^3+^)(AsO_4_)_3_,Na Ca Mg Fe As O,https://www.mindat.org/search.php?search=Magnesiohatertite
Magnesiohögbomite-2<i>N</i>2S,Magnesiohogbomite-2N2S,"(Mg,Fe,Al,Ti)_22_(O,OH)_32_",Mg Fe Al Ti O H,https://www.mindat.org/search.php?search=Magnesiohogbomite-2N2S
Magnesiohögbomite-2<i>N</i>3S,Magnesiohogbomite-2N3S,"(Mg,Fe,Zn,Ti)_4_(Al,Fe)_10_O_19_(OH)",Mg Fe Zn Ti Al O H,https://www.mindat.org/search.php?search=Magnesiohogbomite-2N3S
Magnesiohögbomite-2<i>N</i>4S,Magnesiohogbomite-2N4S,[(Mg_8.43_Fe^2+^_1.57_)_Σ=10_Al_22_Ti^4+^_2_O_46_(OH)_2_],Mg Fe Al Ti O H,https://www.mindat.org/search.php?search=Magnesiohogbomite-2N4S
Magnesiohögbomite-6<i>N</i>12<i>S</i>,Magnesiohogbomite-6N12S,Mg_5_Al_11_TiO_23_(OH),Mg Al Ti O H,https://www.mindat.org/search.php?search=Magnesiohogbomite-6N12S
Magnesiohögbomite-6<i>N</i>6S,Magnesiohogbomite-6N6S,"(Mg,Al,Fe)_3_(Al,Ti)_8_O_15_(OH)",Mg Al Fe Ti O H,https://www.mindat.org/search.php?search=Magnesiohogbomite-6N6S
Magnesio-hornblende,Magnesio-hornblende,[box]Ca_2_(Mg_4_Al)(Si_7_Al)O_22_(OH)_2_,Ca Mg Al Si O H,https://www.mindat.org/search.php?search=Magnesio-hornblende
Magnesiohulsite,Magnesiohulsite,Mg_2_Fe^3+^O_2_(BO_3_),Mg Fe O B,https://www.mindat.org/search.php?search=Magnesiohulsite
Magnesiokoritnigite,Magnesiokoritnigite,Mg(AsO_3_OH)·H_2_O,Mg As O H,https://www.mindat.org/search.php?search=Magnesiokoritnigite
Magnesioleydetite,Magnesioleydetite,Mg(UO_2_)(SO_4_)_2_·11H_2_O,Mg U O S H,https://www.mindat.org/search.php?search=Magnesioleydetite
Magnesio-lucchesiite,Magnesio-lucchesiite,CaMg_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_O,Ca Mg Al Si O B H,https://www.mindat.org/search.php?search=Magnesio-lucchesiite
Magnesioneptunite,Magnesioneptunite,"KNa_2_Li(Mg,Fe)_2_Ti_2_Si_8_O_24_",K Na Li Mg Fe Ti Si O,https://www.mindat.org/search.php?search=Magnesioneptunite
Magnesionigerite-2<i>N</i>1S,Magnesionigerite-2N1S,"(Mg,Al,Zn)_2_(Al,Sn)_6_O_11_(OH)",Mg Al Zn Sn O H,https://www.mindat.org/search.php?search=Magnesionigerite-2N1S
Magnesionigerite-6<i>N</i>6S,Magnesionigerite-6N6S,"(Mg,Al,Zn)_3_(Al,Sn,Fe)_8_O_15_(OH)",Mg Al Zn Sn Fe O H,https://www.mindat.org/search.php?search=Magnesionigerite-6N6S
Magnesiopascoite,Magnesiopascoite,Ca_2_MgV^5+^_10_O_28_·16H_2_O,Ca Mg V O H,https://www.mindat.org/search.php?search=Magnesiopascoite
Magnesio-riebeckite,Magnesio-riebeckite,[box]Na_2_(Mg_3_Fe^3+^_2_)Si_8_O_22_(OH)_2_,Na Mg Fe Si O H,https://www.mindat.org/search.php?search=Magnesio-riebeckite
Magnesiorowlandite-(Y),Magnesiorowlandite-(Y),"Y_4_(Mg,Fe)(Si_2_O_7_)_2_F_2_",Y Mg Fe Si O F,https://www.mindat.org/search.php?search=Magnesiorowlandite-(Y)
Magnesiostaurolite,Magnesiostaurolite,"Mg(Mg,Li)_3_(Al,Mg)_18_Si_8_O_44_(OH)_4_",Mg Li Al Si O H,https://www.mindat.org/search.php?search=Magnesiostaurolite
Magnesiotaaffeite-2<i>N</i>'2S,Magnesiotaaffeite-2N2S,Mg_3_BeAl_8_O_16_,Mg Be Al O,https://www.mindat.org/search.php?search=Magnesiotaaffeite-2N2S
Magnesiotaaffeite-6<i>N</i>'3S,Magnesiotaaffeite-6N3S,Mg_2_BeAl_6_O_12_,Mg Be Al O,https://www.mindat.org/search.php?search=Magnesiotaaffeite-6N3S
Magnesiovesuvianite,Magnesiovesuvianite,Ca_19_Mg(Al_11_Mg)Si_18_O_69_(OH)_9_,Ca Mg Al Si O H,https://www.mindat.org/search.php?search=Magnesiovesuvianite
Magnesiovoltaite,Magnesiovoltaite,K_2_Mg_5_Fe^3+^_3_Al(SO_4_)_12_·18H_2_O,K Mg Fe Al S O H,https://www.mindat.org/search.php?search=Magnesiovoltaite
Magnesiozippeite,Magnesiozippeite,Mg(UO_2_)_2_(SO_4_)O_2_·3.5H_2_O,Mg U O S H,https://www.mindat.org/search.php?search=Magnesiozippeite
Magnesite,Magnesite,Mg(CO_3_),Mg C O,https://www.mindat.org/search.php?search=Magnesite
Magnetite,Magnetite,Fe^2+^Fe^3+^_2_O_4_,Fe O,https://www.mindat.org/search.php?search=Magnetite
Magnetoplumbite,Magnetoplumbite,PbFe^3+^_12_O_19_,Pb Fe O,https://www.mindat.org/search.php?search=Magnetoplumbite
Magnioursilite,Magnioursilite,Mg_4_(UO_2_)_4_(Si_2_O_5_)_5_(OH)_6_·20H_2_O,Mg U O Si H,https://www.mindat.org/search.php?search=Magnioursilite
Magnolite,Magnolite,Hg^1+^_2_(Te^4+^O_3_),Hg Te O,https://www.mindat.org/search.php?search=Magnolite
Magnussonite,Magnussonite,"Mn^2+^_10_As^3+^_6_O_18_(OH,Cl)_2_",Mn As O H Cl,https://www.mindat.org/search.php?search=Magnussonite
